"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","Preverjanje kartice 3D Secure"
"3D Secure Cardholder Validation","Prevejanje imetnika kartice 3D Secure"
"3D Secure Electronic Commerce Indicator","Indikator 3D Secure Electronic Commerce"
"3D Secure Verification Result","Rezultat preverjanja 3D Secure"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Odgovornost izdajatelja kartice"
"Card Verification","Preverjanje kartice"
"Enrolled","Vpisano"
"Enrolled but Authentication Unavailable","Vpisano vendar avtentikacija ni na voljo"
"Failed","Neuspešno"
"MasterCard SecureCode","Varnostna koda MasterCard"
"Merchant Liability","Odgovornost trgovca"
"Not Enrolled","Ni vpisano"
"Order cannot be placed.","Naročila ni mogoče oddati."
"Payment information error. Please start over.","Napaka informacij plačila. Prosimo, začnite znova."
"Please continue with placing order.","Nadaljujte z oddajo naročila."
"Please verify the card with the issuer bank before placing the order.","Preverite kartico z banko izdaje preden oddate naročilo."
"Please verify the card with the issuer bank:","Preverite kartico z banko izdaje:"
"Start/Reset Validation...","Začetek/ponastavitev preverjanja ..."
"Successful","Uspešno"
"Successful attempt","Uspešni poskus"
"The card has failed verification with the issuer bank.","Preverjanje izdajatelja banke kartice ni bilo uspešno."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Poslane so bile napačne informacije plačila ali pa je potekla časovna omejitev. Prosimo, poskusite kasneje."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Poslane so bile napačne informacije plačila ali pa je potekla časovna omejitev. Prosimo, poskusite kasneje."
"This card has failed validation and cannot be used.","Preverjanje te kartice ni bilo uspešno in je ni možno uporabiti."
"To ensure the security of your transactions","Za zagotovitev varnosti vaših transakcij"
"Unable to complete","Nadaljevanje ni možno"
"Validation failed.","Preverjanje ni uspešno."
"Verification Failed","Preverjanje ni uspešno"
"Verification Successful","Preverjanje uspešno"
"Verification cannot be processed","Preverjanja ni možno procesirati"
"Verified by Visa","Preverjeno s kartico Visa"
