"1.5.0.0 & later","1.5.0.0 in kasnejše"
"Action","Akcija"
"Add Author","Dodajte avtorja"
"Add Contents Path","Dodajte pot vsebin"
"Add PHP Extension dependency","Dodajte odvisnost razširitve PHP"
"Add Package dependency","Dodajte odvisnost paketa"
"Add files","Dodajte datoteke"
"Authors","Avtorji"
"Channel","Kanal"
"Contents","Vsebine"
"Create Extension Package","Ustvarite paket razširitve"
"Dependencies","Odvisnosti"
"Description","Opis"
"Edit Extension","Uredite razširitev"
"Email","E-pošta"
"Extension","Razširitev"
"Extensions","Razširitve"
"Failed to create the package.","Ustvarjanje paketa ni uspelo."
"Failed to load the package data.","Nalaganje podatkov paketa ni uspelo."
"Failed to save the package.","Shranjevanje paketa ni uspelo."
"Files","Datoteke"
"Folder","Mapa"
"Ignore","Ignorirajte"
"Include","Vključite"
"License","Licenca"
"License URI","URI licence"
"Load Local Package","Naložite lokalni paket"
"Load local Package","Naložite lokalni paket"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Upravitelj Magento Connect"
"Max","Največ"
"Maximum","Največ"
"Min","Najmanj"
"Minimum","Najmanj"
"Name","Ime"
"New Extension","Nova razširitev"
"PHP Version","Verzija PHP"
"Package","Paket"
"Package Extensions","Razširitve paketa"
"Package File Name","Ime datoteke paketa"
"Package Info","Informacije o paketu"
"Packages","Paketi"
"Path","Pot"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informacije izdaje"
"Remove","Odstranite"
"Save As...","Shranite kot ..."
"Save Data and Create Package","Shranite podatke in ustvarite paket"
"Save package with custom package file name","Shranite paket z imenom datoteke paketa po meri"
"Summary","Povzetek"
"Supported releases","Podprte izdaje"
"System","Sistem"
"Target","Cilj"
"The package %s data has been loaded.","Podatki paketa %s so bili naloženi."
"The package data has been saved.","Podatki paketa so bili shranjeni."
"There was a problem saving package data","Pri shranjevanju podatkov paketa je prišlo do težave"
"Type","Vrsta"
"User","Uporabnik"
