"10 minutes","10 minut"
"15 minutes","15 minut"
"20 minutes","20 minut"
"30 minutes","30 minut"
"5 minutes","5 minut"
"Cron (Scheduled Tasks) - all the times are in minutes","Periodično opravilo (načrtovana opravila) - vsi časi so v minutah"
"Daily","Dnevno"
"Failure History Lifetime","Življenjska doba zgodovine neuspeha"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Za pravilne URL-je generirane med poganjanjem periodičnega opravila zagotovite, da so Splet > Zaščiteni in nezaščiteni osnovni URL-ji eksplicitno nastavljeni."
"Generate Schedules Every","Generirajte načrtovana opravila vsakih"
"History Cleanup Every","Čiščenje zgodovine vsakih"
"Hourly","Vsako uro"
"Invalid callback: %s::%s does not exist","Neveljaven povratni klic: %s::%s ne obstaja"
"Invalid model/method definition, expecting ""model/class::method"".","Neveljavna definicija modela/metode, pričakuje se ""model/class::method""."
"Minute Intervals","Minutni intervali"
"Missed if Not Run Within","Zamujeno, če ni pognano znotraj"
"Monthly","Mesečno"
"No callbacks found","Povratni klici niso bili najdeni"
"Schedule Ahead for","Načrtovano naprej za"
"Success History Lifetime","Življenjska doba zgodovine uspeha"
"Too late for the schedule.","Prepozno za načrtovano opravilo."
"Unable to delete the cron task.","Periodičnega opravila ni bilo mogoče izbrisati."
"Unable to save the cron expression.","Izraza periodičnega opravila ni bilo mogoče shraniti."
"Weekly","Tedensko"
