"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' je predolgo. Imeti mora dolžino znakov %min%."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' je prekratko. Imeti mora dolžino znakov %min%."
"* Required Fields","* Zahtevana polja"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> zahteva dostop do vašega računa"
"Admin","Admin"
"After authorization application will have access to you account.","Po avtorizaciji bo imela aplikacija dostop do vašega računa."
"An error occurred on confirm authorize.","Pri potrditvi avtorizacije je prišlo do napake."
"An error occurred on delete action.","Pri brisanju akcije je prišlo do napake."
"An error occurred on delete application.","Pri brisanju aplikacije je prišlo do napake."
"An error occurred on reject authorize.","Pri zavrnitvi avtorizacije je prišlo do napake."
"An error occurred on saving consumer data.","Pri shranjevanju podatkov potrošnika je prišlo do napake."
"An error occurred on update revoke status.","Pri posodobitvi preklica statusa je prišlo do napake."
"An error occurred while deleting the consumer.","Med brisanjem potrošnika je prišlo do napake."
"An error occurred.","Prišlo je do napake."
"An error occurred. Your authorization request is invalid.","Prišlo je do napake. Zahtevek vaše avtorizacije ni veljaven."
"App Name","Ime aplikacije"
"Application ""%s"" has been deleted.","Aplikacija ""%s"" je bila izbrisana."
"Application ""%s"" has been enabled.","Aplikacija ""%s"" je bila omogočena."
"Application ""%s"" has been revoked.","Aplikacija ""%s"" je bila preklicana."
"Application Name","Ime aplikacije"
"Application not found.","Aplikacije ni bilo mogoče najti."
"Are you sure you want to delete this application?","Ali ste prepričani, da želite izbrisati to aplikacijo?"
"Are you sure you want to disable this application?","Ali ste prepričani, da želite onemogočiti to aplikacijo?"
"Are you sure you want to enable this application?","Ali ste prepričani, da želite omogočiti to aplikacijo?"
"Authorization confirmed","Avtorizacija potrjena"
"Authorization confirmed.","Avtorizacija potrjena."
"Authorize","Avtorizacija"
"Authorize application","Avtorizirajte aplikacijo"
"Authorized Tokens","Avtorizirani žetoni"
"Callback URL","URL povratnega klica"
"Cleanup Probability","Verjetnost čiščenja"
"Cleanup Settings","Nastavitve čiščenja"
"Close","Zaprite"
"Confirm OAuth token authorization","Potrdite žeton OAuth avtorizacije"
"Confirm token authorization Pop Up for admin","Potrdite žeton avtorizacije Pop Up za administratorja"
"Confirm token authorization for admin","Potrdite žeton avtorizacije za administratorja"
"Confirmation Of Authorization","Potrditev avtorizacije"
"Consumer Information","Informacije potrošnika"
"Consumer Name","Ime potrošnika"
"Consumers","Potrošniki"
"Created At","Ustvarjeno ob"
"Current Admin Password","Trenutno geslo administratorja"
"Customer","Potrošnik"
"Customer My Account My OAuth Applications","Potrošnik mojega računa moje aplikacije OAuth"
"Delete","Izbrišite"
"Disable","Onemogočite"
"Disabled","Onemogočeno"
"Edit","Uredite"
"Edit Consumer","Uredite potrošnika"
"Email","E-pošta"
"Email Address","Naslov e-pošte"
"Enable","Omogočite"
"Enabled","Omogočeno"
"Entry with ID #%s not found.","Vnos z ID #%s ni bil najden."
"Expiration Period","Obdobje poteka"
"Give the verifier code to application administrator","Kodo preveritelja dajte administratorju aplikacije"
"ID","ID"
"Invalid Callback URL","URL neveljavnega povratnega klica"
"Invalid ID parameter.","Neveljaven parameter ID."
"Invalid Rejected Callback URL","Neveljaven zavrnjen URL povratnega klica"
"Invalid entry ID.","Neveljaven vnos ID."
"Invalid revoke status.","Neveljaven status preklica."
"Key","Ključ"
"Log In","Prijava"
"Log in as a customer","Prijavite se kot kupec"
"Log in as admin","Prijavite se kot administrator"
"Log in as customer","Prijavite se kot kupec"
"Log in to use <strong>%s</strong>","Prijavite se za uporabo <strong>%s</strong>"
"Login","Prijava"
"My Applications","Moje aplikacije"
"Name","Ime"
"New Consumer","Nov potrošnik"
"OAuth","OAuth"
"OAuth Admin My Apps","Moje aplikacije administracije OAuth"
"OAuth Authorized Tokens","Avtorizirani žetoni OAuth"
"OAuth Consumers","Potrošniki OAuth"
"OAuth authorization Pop Up for customer","Pojavno okence avtorizacije OAuth za kupca"
"OAuth authorization for admin","Avtorizacija OAuth za administratorja"
"OAuth authorization for customer","Avtorizacija OAuth za kupca"
"OAuth authorization simple for admin","Enostavna avtorizacija OAuth za administratorja"
"Password","Geslo"
"Permissions","Pravice"
"Please login to proceed authorization.","Za avtorizacijo se prijavite."
"Please select needed row(s).","Izberite potrebne vrstice."
"Please select revoke status.","Izberite status preklica."
"REST - My Apps","REST - moje aplikacije"
"REST - OAuth Authorized Tokens","REST - avtorizirani žetoni OAuth"
"REST - OAuth Consumers","REST - potrošniki OAuth"
"Reject","Zavrnitev"
"Reject OAuth token authorization","Zavrnite žeton avtorizacije OAuth"
"Reject authorization","Zavrnite avtorizacijo"
"Reject token authorization Pop Up for admin","Zavrnite žeton avtorizacije Pop Up za administratorja"
"Reject token authorization for admin","Zavrnite žeton avtorizacije za administratorja"
"Rejected Callback URL","URL zavrnjenega povratnega klica"
"Rejection Of Authorization","Zavrnitev avtorizacije"
"Revoked","Preklicano"
"Role Name","Ime vloge"
"Save","Shranite"
"Save and Continue Edit","Shranite in nadaljujte z urejanjem"
"Secret","Skrivno"
"Selected entries enabled.","Izbrani vnosi omogočeni."
"Selected entries has been deleted.","Izbrani vnosi so bili izbrisani."
"Selected entries revoked.","Izbrani vnosi so bili preklicani."
"Status","Status"
"System","Sistem"
"The application access request is rejected.","Zahtevek dostopa aplikacije je zavrnjen."
"The consumer has been deleted.","Potrošnik je bil izbrisan."
"The consumer has been saved.","Potrošnik je bil shranjen."
"Token Status Change","Sprememba statusa žetona"
"Token Status Change Email Template","Predloga e-pošte spremembe statusa žetona"
"Unable to find a consumer.","Potrošnika ni bilo mogoče najti."
"User ID","ID uporabnika"
"User Name","Ime uporabnika"
"User Type","Tip uporabnika"
"Verifier code: %s","Koda preveritelja: %s"
"You have no applications.","Nimate aplikacij."
"deleted","izbrisano"
"enabled","omogočeno"
"revoked","preklicano"
