"3D Secure","3D Secure"
"3D Secure Card Validation","Preverjanje kartice 3D Secure"
"API Login ID","ID prijave API"
"Accepted Currency","Sprejeta valuta"
"Allow Partial Authorization","Omogočite začasno avtorizacijo"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Ali ste prepričani, da želite preklicati vaše plačilo? Kliknite OK, da prekličete vaše plačilo in sprostite znesek na čakanju. Kliknite prekliči, da vnesete drugo kreditno kartico in nadaljujete z vašim plačilom."
"Authorize Only","Samo avtorizacija"
"Authorize and Capture","Avtorizirajte in zajamite"
"Authorize.Net Transaction ID %s","Authorize.Net ID transakcije %s"
"Authorize.net","Authorize.net"
"Cancel","Prekličite"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Vrste kreditnih kartic"
"Credit Card Verification","Preverjanje kreditne kartice"
"Credit Card: xxxx-%s","Kreditna kartica: xxxx-%s"
"Debug","Razhroščevanje"
"Email Customer","E-pošta kupcu"
"Enabled","Omogočeno"
"Error in payment gateway.","Napaka pri plačilnem prehodu."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Akcije prehoda so zaklenjene, ker prehod ne more dokončati ene ali več transakcij. Prosimo, prijavite se v vaš račun Authorize.Net, da ročno rešite težavo."
"Gateway error: %s","Napaka prehoda: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Če je prazno, bo uporabljena privzeta vrednost. URL po meri je lahko ponujen s sporazumom CardinalCommerce."
"Invalid amount for authorization.","Neveljaven znesek za avtorizacijo."
"Invalid amount for capture.","Neveljaven znesek za zajemanje."
"Invalid amount for partial authorization.","Neveljaven znesek za delno avtorizacijo."
"Invalid amount for refund.","Neveljaven znesek za vračilo."
"Invalid split tenderId ID.","Neveljavna delitev ID-ja tenderId."
"Maximum Order Total","Skupaj največ naročil"
"Merchant's Email","E-pošta trgovca"
"Minimum Order Total","Skupaj najmanj naročil"
"New Order Status","Nov status naročila"
"Parent Authorize.Net transaction (ID %s) expired","Nadrejena transakcija Authorize.Net (ID %s) je potekla"
"Payment Action","Akcija plačila"
"Payment authorization error.","Napaka avtorizacije plačila."
"Payment canceling error.","Napaka preklica plačila."
"Payment capturing error.","Napaka zajemanja plačila."
"Payment from Applicable Countries","Plačilo iz uporabljanih držav"
"Payment from Specific Countries","Plačilo iz določenih držav"
"Payment partial authorization error.","Napaka plačila delne avtorizacije."
"Payment refunding error.","Napaka vračila plačila."
"Payment updating error.","Napaka posodobitve plačila."
"Payment voiding error.","Napaka eliminacije plačila."
"Processed Amount","Procesirani znesek"
"Remaining Balance","Preostali znesek"
"Severe 3D Secure Card Validation","Resnejše preverjanje kartice 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","Resnejše preverjanje odstrani povračilo odgovornost trgovca"
"Shopping cart contents and/or address has been changed.","Vsebine košarice in/ali naslov je bil spremenjen."
"Sort Order","Vrstni red"
"Test Mode","Način testiranja"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Znesek na vaši kreditni kartici je premajhen za dokončanje vašega nakupa. Znesek na voljo je bil dan na čakanje. Da dokončate vaš nakup, kliknite v redu in določite dodatno številko kreditne kartice. Da prekličete nakup in sprostite znesek na čakanju, kliknite prekliči."
"There was an error canceling transactions. Please contact us or try again later.","Pri preklicu transakcij je prišlo do napake. Prosimo, kontaktirajte nas ali pa poskusite ponovno kasneje."
"Title","Naslov"
"Transaction Key","Ključ transakcije"
"You have reached the maximum number of credit card allowed to be used for the payment.","Dosegli ste največje število, ki ga dovoljuje kreditna kartica za uporabo plačila."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Dosegli ste največje število kreditne kartice, katero je lahko uporabljeno za eno plačilo. Zneski na voljo na vseh karticah so premajhni za dokončanje plačila."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Vaša kreditna kartica je bila zavrnjena. Kliknite v redu, da določite drugo kreditno kartico za dokončanje vašega nakupa. Kliknite prekliči, da sprostite znesek na čakanju in izberete drug način plačila."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Vaše naročilo ni bilo oddano, ker vsebine košarice in/ali naslov ni bil spremenjen. Avtorizirani zneski iz vaših prejšnjih plačil, ki so ostali na čakanju so sedaj sproščeni. Prosimo, pojdite skozi proces naročila za vašo zadnjo vsebino košarice."
"Your payment has been cancelled. All authorized amounts have been released.","Vaše plačilo je bilo preklicano. Vsi avtorizirani zneski so bili sproščeni."
"amount %s","znesek %s"
"authorize","avtorizirajte"
"authorize and capture","avtorizirajte in zajemite"
"capture","zajemite"
"failed","neuspešno"
"refund","povračilo"
"successful","uspešno"
"void","prazno"
