"Add Recipient","Dodajte prejemnika"
"Allow for Guests","Dovolite goste"
"An invalid email address for recipient was entered.","Vnešen je bil neveljaven naslov e-pošte za prejemnika."
"At least one recipient must be specified.","Določen mora biti vsaj en prejemnik."
"Back","Nazaj"
"Catalog Product Email to a Friend","Katalog produktov pošljite prijatelju po e-pošti"
"Email Address","Naslov e-pošte"
"Email Address:","Naslov e-pošte:"
"Email Templates","Predloga e-pošte"
"Email to a Friend","Pošljite prijatelju po e-pošti"
"Email:","E-pošta:"
"Enabled","Omogočeno"
"Invalid Sender Information","Neveljavne informacije pošiljatelja"
"Invalid sender email.","Neveljavna e-pošta pošiljatelja."
"Limit Sending By","Omejite pošiljanje na"
"Max Products Sent in 1 Hour","Največ poslanih produktov v 1 uri"
"Max Recipients","Največ prejemnikov"
"Maximum %d email addresses allowed.","Dovoljenih je največ %d e-pošnih naslovov."
"Message:","Sporočilo:"
"Name","Ime"
"Name:","Ime:"
"No more than %d emails can be sent at a time.","Naenkrat ne sme biti poslanih več kot %d e-pošt."
"Please define a correct Cookie instance.","Definirajte pravilno instanco piškotka."
"Please define a correct Product instance.","Definirajte pravilno instanco produkta."
"Please define the correct Sender information.","Definirajte pravilne informacije pošiljatelja."
"Recipient:","Prejemnik:"
"Remove Email","Odstranite e-pošto"
"Select Email Template","Izberite predlogo e-pošte"
"Send Email","Pošljite e-pošto"
"Send product to a friend","Pošljite produkt prijatelju"
"Sender:","Pošiljatelj:"
"Some emails were not sent.","Nekatera e-pošta ni bila poslana."
"The link to a friend was sent.","Povezava prijatelju je bila poslana."
"The message cannot be empty.","Sporočilo ne more biti prazno."
"The messages cannot be sent more than %d times in an hour","Sporočil se ne sme pošiljati več kot %d-krat na uro."
"The sender name cannot be empty.","Ime pošiljatelja ne more biti prazno."
"There were some problems with the data.","S podatki je bilo je nekaj težav."
"You have exceeded limit of %d sends in an hour","Prekoračili ste omejitev %d pošiljanj na uro"
