"Action","Dejanje"
"Add Sitemap","Dodaj kazalo strani"
"Always","Vedno"
"CMS Pages Options","Možnosti strani CMS"
"Categories Options","Možnosti kategorij"
"Daily","Dnevno"
"Edit Sitemap","Uredi kazala strani"
"Enabled","Omogočeno"
"Error Email Recipient","Prejemnik e-pošte napake"
"Error Email Sender","Pošiljatelj e-pošte napake"
"Error Email Template","Predloga e-pošte napake"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Datoteke ""%s"" ni bilo mogoče shraniti. Preverite, da je direktorij ""%s"" zapisljiv na spletnem strežniku."
"Filename","Ime datoteke"
"Frequency","Pogostost"
"Generate","Generiraj"
"Generation Settings","Nastavitve generiranja"
"Google Sitemap","Google Sitemap"
"Hourly","Vsako uro"
"ID","ID"
"Last Time Generated","Zadnjič generirano"
"Link for Google","Povezava za Google"
"Monthly","Mesečno"
"Never","Nikoli"
"New Sitemap","Novo kazalo strani"
"Path","Pot"
"Please create the specified folder ""%s"" before saving the sitemap.","Ustvarite določeno mapo ""%s"", preden shranjujete kazalo strani."
"Please define correct path","Definirajte pravo pot"
"Please make sure that ""%s"" is writable by web-server.","Preverite, da je ""%s"" zapisljiv na spletnem strežniku."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","V imenu datoteke uporabljajte samo črke (a-z ali A-Z), številke (0-9) ali podčrtaje (_). Presledki in ostali znaki niso dovoljeni."
"Priority","Prednost"
"Products Options","Možnosti produktov"
"Sitemap","Kazalo strani"
"Sitemap generate Warnings","Opozorila generiranja kazala strani"
"Start Time","Začetek"
"Store View","Pogled trgovine"
"The priority must be between 0 and 1.","Prednost mora biti med 0 in 1."
"The sitemap ""%s"" has been generated.","Kazalo strani ""%s"" je bilo generirano."
"The sitemap has been deleted.","Kazalo strani je bilo izbrisano."
"The sitemap has been saved.","Kazalo strani je bilo shranjeno."
"This sitemap no longer exists.","Kazalo strani ne obstaja več."
"Unable to find a sitemap to delete.","Kazala strani za brisanje ni bilo mogoče najti."
"Unable to find a sitemap to generate.","Kazala strani za generiranje ni bilo mogoče najti."
"Unable to generate the sitemap.","Generiranje kazala strani ni bilo možno."
"Valid values range: from 0.0 to 1.0.","Veljavno območje vrednosti: od 0.0 do 1.0."
"Weekly","Tedensko"
"Yearly","Letno"
