"# of Uses","# Št. uporab"
"%s tag(s) have been accepted for moderation.","%s oznak je bilo sprejetih za moderacijo."
"<strong>Tag Name:</strong> %s","<strong>Ime oznake:</strong> %s"
"Action","Akcija"
"Add","Dodajte"
"Add New Tag","Dodajte novo oznako"
"Add Tags","Dodajte oznake"
"Add Your Tags:","Dodajte vaše oznake:"
"Add tag(s) to product","Dodajte oznake k produktom"
"Add to Cart","Dodajte v košarico"
"Add to Wishlist","Dodajte na seznam želja"
"All Tags","Vse oznake"
"Approved","Odobreno"
"Are you sure you want to delete this tag?","Ali ste prepričani, da želite izbrisati to oznako?"
"Are you sure you want to do this?","Ali ste prepričani, da želite to narediti?"
"Are you sure?","Ali ste prepričani?"
"Back","Nazaj"
"Back to Tags List","Nazaj na seznam oznak"
"Base Popularity","Osnovna priljubljenost"
"Block Information","Informacije bloka"
"CSV","CSV"
"Catalog Product View","Pogled kataloga produktov"
"Change status","Spremenite status"
"Click on a tag to view your corresponding products.","Kliknite na oznako, da pogledate vaše ustrezajoče produkte."
"Country","Država"
"Customer My Account My Tags List","Seznam mojih oznak v mojem računu kupca"
"Customer My Account Tag View","Pogled oznake v mojem računu kupca"
"Customer Since","Kupec od"
"Customers","Kupci"
"Customers Submitted this Tag","Kupci, ki so poslali to oznako"
"Customers Tagged '%s'","Kupci označili '%s'"
"Delete","Izbrišite"
"Delete Tag","Izbrišite oznako"
"Disabled","Onemogočeno"
"Edit Tag '%s'","Uredite oznako '%s'"
"Email","E-pošta"
"First Name","Prvo ime"
"General Information","Splošne informacije"
"Grid","Mreža"
"ID","ID"
"Info","Informacije"
"Last Name","Priimek"
"List","Seznam"
"Manage Tags","Upravljanje oznak"
"Middle Name","Srednje ime"
"My Recent Tags","Moje nedavne oznake"
"My Tags","Moje oznake"
"Name","Ime"
"New Tag","Nova oznaka"
"No matches found.","Najdenih ni nobenih zadetkov."
"Other people marked this product with these tags:","Ostali so označili ta produkt s temi oznakami:"
"Pending","Na čakanju"
"Pending Tags","Oznake na čakanju"
"Popular","Priljubljeno"
"Popular Tags","Priljubljene oznake"
"Price","Cena"
"Product Name","Ime produkta"
"Product SKU","SKU produkta"
"Product Tag API","API oznake produkta"
"Product Tags","Oznake produkta"
"Products","Produkti"
"Products Tagged by Administrators","Produkti, ki so jih označili administratorji"
"Products Tagged by Customers","Označeni produkti kupca"
"Products Tagged with '%s'","Produkti označeni z/s '%s'"
"Products tagged with '%s'","Produkti označeni z/s '%s'"
"Rebuild Tag aggregation data","Ponovno zgradite podatke agregacije oznake"
"Remove","Odstranite"
"Remove product tag","Odstranite oznako produkta"
"Retrieve list of tags by product","Povrnitev seznama oznak produkta"
"Retrieve product tag info","Povrnitev informacij oznak produkta"
"SKU","SKU"
"Save Tag","Shranite oznako"
"Save and Continue Edit","Shranite in nadaljujte z urejanjem"
"Status","Status"
"Store View","Pogled trgovine"
"Tag","Oznaka"
"Tag ""%s"" has already been added to the product.","Oznaka ""%s"" je bila že dodana k produktu."
"Tag ""%s"" has been added to the product.","Oznaka ""%s"" je bila dodana k produktu."
"Tag ""%s"" has been rejected by administrator.","Oznaka ""%s"" je bila zavrnjena s strani administratorja."
"Tag Aggregation Data","Podatki agregacije oznake"
"Tag Name","Ime oznake"
"Tagged Products List","Seznam označenih produktov"
"Tags","Oznake"
"Tags List (All Available)","Seznam oznak (vsi na voljo)"
"Tags List Before","Seznam oznak pred"
"Tags:","Oznake:"
"Telephone","Telefon"
"The tag has been deleted.","Oznaka je bila izbrisana."
"There are no tags available.","Na voljo ni nobenih oznak."
"Unable to find any products tagged with '%s' in the current store","V trenutni trgovini ni bilo mogoče najti nobenih produktov označenih z/s '%s'"
"Unable to remove tag. Please, try again later.","Odstranjevanje oznake ni uspelo. Prosimo, poskusite ponovno kasneje."
"Unable to save tag(s).","Shranjevanje oznak(e) ni uspelo."
"Update","Posodobite"
"Update product tag","Posodobite oznako produkta"
"Use spaces to separate tags. Use single quotes (') for phrases.","Uporabite presledke, da ločite oznake. Za fraze uporabite enojne citate (')."
"View All Tags","Pogled vseh oznak"
"View Customers","Pogled kupcev"
"View Products","Pogled produktov"
"XML","XML"
"You have not tagged any products yet.","Označili niste še nobenih produktov."
"ZIP/Post Code","Poštna številka"
"[STORE VIEW]","[POGLED TRGOVINE]"
