"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - ujema se s katerimkoli; 'xyz*' - ujema se s katerimkoli, ki se začne na 'xyz' in ne več kot %d."
"-- Please Select --","-- Izberite --"
"Add New Class","Dodaj nov razred"
"Add New Tax Rate","Dodaj novo davčno stopnjo"
"Add New Tax Rule","Dodaj novo pravilo davka"
"After Discount","Po popustu"
"An error occurred while deleting this rate.","Med brisanjem te stopnje je prišlo do napake."
"An error occurred while deleting this rate. Incorrect rate ID.","Med brisanjem te stopnje je prišlo do napake. Nepravilen ID stopnje."
"An error occurred while deleting this tax class.","Med brisanjem tega davčnega razreda je prišlo do napake."
"An error occurred while deleting this tax rule.","Med brisanjem tega pravila davka je prišlo do napake."
"An error occurred while saving this tax class.","Med shranjevanjem tega davčnega razreda je prišlo do napake."
"An error occurred while saving this tax class. A class with the same name","Med shranjevanjem tega davčnega razreda je prišlo do napake. Razred z enakim imenom"
"Apply Customer Tax","Uporabi davek kupca"
"Apply Discount On Prices","Uporabi popust na cenah"
"Apply Tax On","Uporabi davek na"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Uporabi popust na ceni, ki vključuje davek, ki je izračunan v davku trgovine, če je izbran ""Uporabi davek po popustu""."
"Are you sure you want to do this?","Ali ste prepričani, da želite to narediti?"
"Back","Nazaj"
"Before Discount","Pred popustom"
"CSV","CSV"
"Calculate off subtotal only","Odbij samo vmesni seštevek"
"Calculation Settings","Nastavitve izračuna"
"Catalog Prices","Cene kataloga"
"Class Name","Ime razreda"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Kliknite tu, da greste v <a href=""%s"">nastavitve davka</a> in spremenite vaše nastavitve."
"Code","Koda"
"Country","Država"
"Custom price if available","Cena po meri, če je na voljo"
"Customer Tax Class","Davčni razred kupca"
"Customer Tax Class Information","Informacije davčnega razreda kupca"
"Customer Tax Classes","Davčni razredi kupca"
"Default Country","Privzeta država"
"Default Post Code","Privzeta poštna številka"
"Default State","Privzeta zvezna država"
"Default Tax Destination Calculation","Privzet davek ciljnega izračuna"
"Delete Class","Izbriši davek"
"Delete Rate","Izbriši stopnjo"
"Delete Rule","Izbriši pravilo"
"Display Full Tax Summary","Prikaži celoten povzetek davka"
"Display Prices","Prikaži cene"
"Display Product Prices In Catalog","Prikaži cene produktov v katalogu"
"Display Shipping Amount","Prikaži znesek dostave"
"Display Shipping Prices","Prikaži cene dostave"
