" was not delivered nor scanned"," ni dostavljeno, ne skenirano"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Na naročilo"" omogoča enotno takso stroškov obdelave za celotno naročilo. ""Na paket"" omogoča posamezno takso stroškov obdelave za vsak paket."
"1 Day Freight","1 dnevni tovor"
"2 Day","2 dnevno"
"2 Day AM","2 dnevno dopoldan"
"2 Day Freight","2 dnevni tovor"
"2nd Day Air","2. dan letalsko"
"2nd Day Air AM","2. dan letalsko dopoldan"
"2nd Day Air AM Letter","2. dan letalsko pismo dopoldan"
"2nd Day Air Letter","2. dan letalsko pismo"
"3 Day Freight","3 dnevni tovor"
"3 Day Select","3 Day Select"
"Access ID","ID dostopa"
"Access License Number","Številka licence dostopa"
"Account ID","ID računa"
"Account Number","Številka računa"
"Additional Protection Configuration Value","Vrednost možnosti dodatnega zavarovanja"
"Additional Protection Enabled","Dodatno zavarovanje omogočeno"
"Additional Protection Min Subtotal","Minimalna vmesna vsota dodatnega zavarovanja"
"Additional Protection Value","Vrednost dodatne zaščite"
"Additional Protection Value Rounding Method","Način zaokroževanja vrednosti dodatne zaščite"
"Adult","Odrasla oseba"
"Adult Signature Required","Zahtevan podpis odrasle osebe"
"Allowed Methods","Dovoljeni načini"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Dovoli prerazporeditev teže celotnega naročila v manjše kose, če preseže %s %s, da se zagotovi točen izračun stroškov pošiljanja."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Dovoli prerazporeditev teže celotnega naročila v manjše kose, če preseže 70 kg, da se zagotovi točen izračun stroškov pošiljanja."
"Break bulk economy","Ekonomski zbirni tovor"
"Break bulk express","Hitri zbirni tovor"
"Business Service Center","Poslovni servis"
"Calculate Handling Fee","Taksa za stroške obdelave"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Identifikacija merske enote za %s ni mogoča"
"Cannot identify weight unit for %s","Identifikacija enote teže za %s ni mogoča"
"Cannot retrieve shipping rates","Stopnje pošiljanja ni mogoče pridobiti"
"Centimeters","Centimetri"
"Commercial","Komercialno"
"Configuration","Nastavitve"
"Container","Kontejner"
"Content Type","Tip vsebine"
"Customer Packaging","Pakiranje kupca"
"Customer Supplied Package","Paket priložil kupec"
"Customer services","Storitve za stranke"
"DHL","DHL"
"DHL (Deprecated)","DHL (opuščeno)"
"DHL service is not available at %s date","Za datum %s storitev DHL ni na voljo"
"Debug","Razhroščevanje"
"Default Package Height","Privzeta višina paketa"
"Default Package Length","Privzeta dolžina paketa"
"Default Package Width","Privzeta širina paketa"
"Delivered","Dostavljeno"
"Delivery Confirmation","Potrditev dostave"
"Depth","Globina"
"Destination Type","Tip destinacije"
"Destination facility code is empty","Koda objekta destinacije je prazna"
"Development","Razvoj"
"Direct","Direkno"
"Displayed Error Message","Prikazano sporočilo napake"
"Divide Order Weight","Razdelite težo naročila"
"Documents","Dokumenti"
"Domestic Shipment Days","Dnevi domače pošiljke"
"Domestic economy select","Izbira domače ekonomsko"
"Domestic express","Domače hitro"
"Drop Box","Drop Box"
"Dropoff","Dropoff"
"Easy shop","Easy shop"
"Economy select","Izbira ekonomsko"
"Empty response","Ni odziva"
"Enable Negotiated Rates","Omogočite stopnje po dogovoru"
"Enabled for Checkout","Omogočeno za blagajno"
"Enables/Disables SSL verification of Magento server by UPS.","Omogoči/onemogoči preverjanje SSL na Magento strežniku UPS-a."
"Error #%s : %s","Napaka #%s : %s"
"Error #%s : %s (%s)","Napaka #%s : %s (%s)"
"Error #%s: %s","Napaka #%s: %s"
"Europack","Europack"
"Europe First Priority","Europa prvi razred prioritetno"
