"%1$s has been updated in your wishlist.","%1$s je bil posodobljen v vašem seznamu želja."
"%d product(s) have been added to shopping cart: %s.","%d produkt(ov) je bilo dodanih v košarico: %s."
"%s for ""%s"".","%s za ""%s""."
"%s has been moved to wishlist %s","%s je bil premaknjen na seznam želja %s"
"%s was added to your shopping cart.","%s izdelek je bil dodan v vašo košarico."
"%s's Wishlist","Seznam želja %s"
"* Required Fields","* Zahtevana polja"
"Add All to Cart","Dodajte vse v košarico"
"Add to Cart","Dodajte v košarico"
"Add to Compare","Dodajte za primerjanje"
"Add to Wishlist","Dodajte na seznam želja"
"Added From","Dodano iz"
"An error occurred while adding item to wishlist.","Med dodajanjem elementov na seznam želja je prišlo do napake"
"An error occurred while adding item to wishlist: %s","Med dodajanjem elementa na seznam želja je prišlo do napake: %s"
"An error occurred while deleting the item from wishlist.","Med brisanjem elementa iz seznama želja je prišlo do napake."
"An error occurred while deleting the item from wishlist: %s","Med brisanjem elementa iz seznama želja je prišlo do napake: %s"
"An error occurred while updating wishlist.","Med posodabljanjem seznama želja je prišlo do napake."
"Are you sure you want to remove this product from your wishlist?","Ali ste prepričani, da želite odstraniti ta produkt iz vašega seznama želja?"
"Are you sure you would like to remove this item from the wishlist?","Ali ste prepričani, da želite odstraniti ta element iz seznama želja?"
"Back","Nazaj"
"Can\'t delete item from wishlist","Brisanje elementa iz seznama želja ni uspešno"
"Can\'t save description %s","Shranjevanje opisa %s ni uspešno"
"Can\'t update wishlist","Posodobitev seznama želja ni uspešna"
"Cannot add item to shopping cart","Dodajanje elementa v košarico ni uspešno"
"Cannot add the following product(s) to shopping cart: %s.","Sledečih izdelkov ni mogoče dodati v košarico: %s."
"Cannot add the item to shopping cart.","Dodajanje elementa v košarico ni uspešno."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Dodajanje izbranega izdelka v košarico ni uspešno, ker je bil izdelek odstranjen iz seznama želja"
"Cannot configure product","Nastavitev izdelka ni možna"
"Cannot load wishlist item","Nalaganje seznama želja elementa ni možna"
"Cannot move item to wishlist","Premikanje elementa na seznam želja ni možna"
"Cannot specify product.","Določanje produkta neuspešna."
