"Credit Card Type","Vrsta kreditne kartice"
"Add New User","Dodaj novega uporabnika"
"Items that you don","Elementi, ki jih"
"State/Province","Zvezna država/provinca"
"Magento Commerce - Administrative Panel","Magento Commerce - Administracijska plošča"
"3 stars","3 zvezdice"
"Credit Memo Date","Datum dobropisa"
"Double click on a group to rename it","Dvojni klik na skupino, da jo preimenujete"
"Rating Not Available","Ocenjevanje ni na voljo"
"Gift Certificate","Darilni bon"
"Assigned Answers","Dodeljeni odgovori"
"Fax","Faks"
"Magento Admin","Magento Admin"
"Newsletter Message Preview","Predogled sporočila e-novic"
"4 stars","4 zvezdice"
"Company","Podjetje"
"Invoice Date","Datum računa"
"Qty Returned","Vrnjena količina"
"Add New Customer Group","Dodaj novo uporabniško skupino"
"Visitors","Obiskovalci"
"Shipping Method","Način dostave"
"Subtotal","Vmesna vsota"
"5 stars","5 zvezdic"
"Choose Store","Izberi trgovino"
"Import Tax Rates","Uvoz davčnih stopenj"
"Roles","Vloge"
"If you do not specify an option value for a store then the default value will be used.","Če ne določite vrednosti možnosti za trgovino, potem bo uporabljena privzeta vrednost."
"Shipping","Dostava"
"Select from existing customer addresses:","Izberite iz obstoječih naslovov kupca:"
"Products","Izdelki"
"Edit User ","Urejanje uporabnika"
"Item Status","Status elementa"
"Set as default billing address","Nastavi kot privzeti naslov za izstavitev računa"
"Position","Pozicija"
"Items Ordered","Naročeni elementi"
"Fixed","Fiksno"
"%s","%s"
"Same as Billing Address","Enako kot naslov za izstavitev računa"
"Product In Stores","Izdelek v trgovinah"
"Working...","Obdelovanje ..."
"Apply coupon code","Uporabi kodo kupona"
"per page","na stran"
"Tax","Davek"
"Telephone","Telefon"
"Wishlist","Seznam želja"
"Magento","Magento"
"Expiration Date","Datum poteka"
"Add New Class","Dodaj nov razred"
"Super product attributes configuration","Nastavitev atributov posebnega produkta"
"Previus page","Prejšnja stran"
"Something went wrong...","Nekaj je šlo narobe ..."
"Lifetime Sales","Prodaja celotne življenjske dobe"
"SKU","SKU"
"Log Out","Odjava"
"Failed","Ni uspešno"
"Billing Address","Naslov za izstavitev računa"
"Log into Magento Admin Page","Prijava v stran administracije Magento"
"Invoice Status","Status računa"
"CC Type","Vrsta CC"
"Percentage","Odstotki"
"Are you sure?","Ali ste prepričani?"
