" The customer does not exist in the system anymore."," Kupec ne obstaja več v sistemu."
" [deleted]"," [izbrisano]"
" and "," in "
"%s (Default Template from Locale)","%s (Privzeta predloga iz območnih nastavitev)"
"%s cache type(s) disabled.","%s vrsta(e) predpomnilnika onomogočena(e)."
"%s cache type(s) enabled.","%s vrste predpomnilnika omogočene."
"%s cache type(s) refreshed.","%s vrste predpomnilnika osvežene."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Za vrsto ""lokalni strežnik"" je potrebno uporabiti relativno pot za namestitev Magento var/export ali var/import, npr. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Za US 2-črkovna imena zvezvnih držav)"
"(If left empty will be auto-generated)","(Če je izpuščeno, bo avtomatsko generirano)"
"(Leave empty for first spreadsheet)","(Pustite prazno za prvo preglednico)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkti bodo dodani/posodobljeni za to trgovino, če je stolpec 'store' prazen ali manjka datoteki uvoza.)"
"(Shift-)Click or drag to change value","(Shift-)klik ali povlecite, da spremenite vrednost"
"(Starting with)","(Začeto z)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ko je 'Ne', bodo uvožena samo preslikana polja. Ko preslikavate, uporabite 'stolpec1', 'stolpec2' itd.)"
"(You have to increase php memory_limit before changing this value)","(Povečati morate php memory_limit preden spreminjate to vrednost)"
"(\\t for tab)","(\\t za tabulator)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Če je v poteku indeksiranje, bo ubito in začel se bo nov proces indeksiranja."
"* Required Fields","* Zahtevana polja"
"- Click on any of the time parts to increase it","- Kliknite na katerikoli časovni del, da povečate"
"- Hold mouse button on any of the above buttons for faster selection.","- Držite gumb miške na kateremkoli od zgornjih gumbov za hitrejšo izbiro."
"- Use the %s buttons to select month","- Uporabite gumbe %s, da izberete mesec"
"- Use the %s, %s buttons to select month","- Uporabite gumbe %s, %s, da izberete mesec"
"- Use the %s, %s buttons to select year","- Uporabite gumbe %s, %s, da izberete leto"
"- or Shift-click to decrease it","- ali shift-klik, da zmanjšate"
"- or click and drag for faster selection.","- ali kliknite in povlecite za hitrejšo izbiro."
"-- Not Selected --","-- Ni izbrano --"
"-- Please Select --","-- Izberite --"
"-- Please Select Billing Agreement--","-- Izberite sporazum izstavitve računa--"
"-- Please Select a Category --","-- Izberite kategorijo --"
"-- Please select --","-- Izberite --"
"--Please Select--","--Izberite--"
"1 Hour","1 ura"
"12 Hours","12 ur"
"12h AM/PM","12h AM/PM"
"2 Hours","2 uri"
"24 Hours","24 ur"
"24h","24h"
"2YTD","2 leti do datuma"
"6 Hours","6 ur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Napaka 404</h1><p>Strani ni mogoče najti.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> zahteva dostop do vašega računa"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Captcha razlikuje med velikimi in malimi črkami."
"A user with the same user name or email aleady exists.","Uporabnik z enakim uporabniškim imenom ali e-pošto že obstaja."
"API Key","ključ API"
"API Key Confirmation","Potrditev ključa API"
"ASCII","ASCII"
"Abandoned Carts","Opuščene košarice"
"About the calendar","O koledarju"
"Access Denied","Dostop zavrnjen"
"Access denied","Dostop zavrnjen"
"Access denied.","Dostop zavrnjen."
"Account Created in:","Račun ustvarjen v:"
"Account Created on (%s):","Račun ustvarjen na (%s):"
"Account Created on:","Račun ustvarjen na:"
"Account Information","Informacije računa"
"Account Status","Status računa"
"Account status","Status računa"
"Action","Dejanje"
"Actions","Dejanja"
"Actions XML","XML dejanja"
"Active","Aktivno"
"Add","Dodaj"
"Add Exception","Dodaj izjemo"
"Add Field Mapping","Dodaj preslikavo polja"
"Add Field with URL:","Dodaj polje z URL-jem:"
"Add New","Dodaj novo"
"Add New Block","Dodaj nov blok"
"Add New Image","Dodaj novo sliko"
"Add New Profile","Dodaj nov profil"
"Add New Role","Dodaj novo vlogo"
"Add New Template","Dodaj novo predlogo"
"Add New URL Rewrite","Dodaj nov prepis URL-ja"
"Add New User","Dodaj novega uporabnika"
"Add New Variable","Dodaj novo spremenljivko"
"Add Products","Dodaj produkte"
"Add URL Rewrite","Dodaj prepis URL-ja"
"Add URL Rewrite for a Category","Dodaj prepis URL-ja za kategorijo"
"Add URL Rewrite for a Product","Dodaj prepis URL-ja za produkt"
"Add after","Dodaj za"
"Add new variable","Dodaj novo spremenljivko"
"Add to category","Dodaj kategoriji"
"Additional Cache Management","Dodatno upravljanje predpomnilnika"
"Address Type:","Tip naslova:"
"Admin","Admin"
"Advanced Admin Section","Napredna admin sekcija"
"Advanced Profiles","Napredni profili"
"Advanced Section","Napredna sekcija"
"After authorization application will have access to you account.","Po avtorizaciji bo imela aplikacija dostop do vašega računa."
"All","Vse"
"All Allowed Countries","Vse dovoljene države"
"All Cache","Ves predpomnilnik"
"All Files","Vse datoteke"
"All Reviews","Vsa mnenja"
"All Store Views","Vsi pogledi trgovine"
"All Storefronts","Vse prodajalne"
"All Tags","Vsi zavihki"
"All Websites","Vse spletne strani"
"All countries","Vse države"
"All fields","Vsa polja"
"All possible rates were fetched, please click on ""Save"" to apply","Vse možne stopnje so bile ujete, kliknite na ""Shrani"", da uporabite"
"All rates were fetched, please click on ""Save"" to apply","Vse stopnje so bile ujete, kliknite na ""Shrani"", da uporabite"
"All valid rates have been saved.","Vse veljavne stopnje so bile shranjene."
"Allowed","Dovoljeno"
"Already in category","Že v kategoriji"
"Always (during development)","Vedno (med razvojem)"
"Amounts","Zneski"
