"# of Use","Št. uporabe"
"%1$s incl tax.","%1$s vključno z davkom."
"%s - %s","%s - %s"
"%s Item(s)","Elementov: %s"
"%s and above","%s in več"
"%s-%s of %s","%s-%s od %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopirajte podatke iz: %s)"
"* Required Fields","* Zahtevana polja"
"-- Please Select --","-- Izberite --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Privzeto 86400, če ni nastavljeno. Za takojšnjo osvežitev, počistite HTML bloke izpisa predpomnilnika."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Opozorilo!</strong> Privzeta uporaba MAP bo skrila vse cene produktov na ospredju."
"A group with the same name already exists.","Skupina z enakim imenom že obstaja."
"A name is required","Ime je obvezno"
"A product type is not defined for the indexer.","Tip produkta ni definiran za indeksator."
"ALL GROUPS","VSE SKUPINE"
"AM","Dopoldan"
"Action","Akcija"
"Actual Price","Dejanska cena"
"Add","Dodaj"
"Add Attribute","Dodaj atribut"
"Add Design Change","Dodaj spremembo oblike"
"Add Group","Dodaj skupino"
"Add Group Price","Dodaj cenovno skupino"
"Add New","Dodaj novo"
"Add New Attribute","Dodaj nov atribut"
"Add New Attribute Set","Dodaj nov nabor atributov"
"Add New Group","Dodaj novo skupino"
"Add New Images","Dodaj nove slike"
"Add New Option","Dodaj novo možnost"
"Add New Row","Dodaj novo vrstico"
"Add New Search Term","Dodaj nov izraz iskanja"
"Add New Set","Dodaj nov nabor"
"Add Product","Dodaj produkt"
"Add Product To Websites","Dodaj produkt spletnim stranem"
"Add Root Category","Dodaj korensko kategorijo"
"Add Subcategory","Dodaj podkategorijo"
"Add Tax","Dodaj davek"
"Add Tier","Dodaj količinski popust"
"Add attribute into attribute set","Dodaj atribut v nabor atributov"
"Add group into attribute set","Dodaj skupino v nabor atributov"
"Add new custom option into product","Dodaj novo možnost po meri v produkt"
"Add new values into custom option","Dodaj novo vrednost v možnost po meri"
"Add option","Dodaj možnost"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjanje"
"Add to Wishlist","Dodaj na seznam želja"
"Additional Information","Dodatne informacije"
"Alert Urls","URL-ji opozoril"
"All","Vse"
"All Product Types","Vsi tipi produktov"
"All Websites","Vse spletne strani"
"All products","Vsi produkti"
"All products - recently added products, New products - products marked as new","Vsi produkti - nedavno dodani produkti, novi produkti - produkti označeni kot novo"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Vsi produkti tega nabora bodo izbrisani! Ste prepričani, da želite izbrisati ta nabor atributov?"
"Allow All Products per Page","Dovolite vse produkte na stran"
"Allow Dynamic Media URLs in Products and Categories","V produktih in kategorijah dovolite URL-je dinamičnih medijev"
"Allow HTML Tags on Frontend","Na ospredju dovolite HTML značke"
"Allowed File Extensions","Dovoljene končnice datotek"
"Allowed file extensions to upload","Dovoljene končnice datotek za nalaganje"
"Amount","Znesek"
"An error occurred while adding products to websites.","Med dodajanjem produktov spletni strani je prišlo do napake."
"An error occurred while clearing comparison list.","Med čiščenjem seznama primerjanja je prišlo do napake."
"An error occurred while deleting this review.","Med brisanjem tega pregleda je prišlo do napake."
"An error occurred while removing products from websites.","Med odstranjevanjem produktov iz spletne strani je prišlo do napake."
"An error occurred while saving the URL rewrite","Med shranjevanjem URL prepisa je prišlo do napake"
"An error occurred while saving the attribute set.","Med shranjevanjem nabora atributov je prišlo do napake."
"An error occurred while saving the collection, aborting. Error message: %s","Med shranjevanjem zbirke je prišlo do napake, prekinjam. Sporočilo napake: %s"
"An error occurred while saving the product. ","Med shranjevanjem produkta je prišlo do napake. "
"An error occurred while saving the search query.","Med shrajevanjem poizvedbe iskanja je prišlo do napake."
"An error occurred while saving this group.","Med shranjevanjem te skupine je prišlo do napake."
"An error occurred while saving this review.","Med shranjevanjem tega pregleda je prišlo do napake."
"An error occurred while trying to delete the category.","Med poskusom izbrisa kategorije je prišlo do napake."
"An error occurred while updating the product(s) attributes.","Med posodabljanjem atributov produktov je prošlo do napake."
"An error occurred while updating the product(s) status.","Med posodabljanjem status produktov je prišlo do napake."
"An invalid group ID is specified, skipping the record.","Določen je neveljaven ID skupine, vnos preskočen."
"An invalid option ID is specified for %s (%s), skipping the record.","Za %s (%s) je določen neveljaven ID možnosti, vnos preskočen."
"An invalid store was specified.","Določena je bila neveljavna trgovina."
"Anchor Custom Text","Tekst sidra po meri"
"Anchor Custom Title","Naslov sidra po meri"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Uporabno samo za produkte kataloga in kategorije. Katerakoli medijska vsebina bo vstavljena v urejevalnik kot statični URL. Ne bo posodobljeno, če se osnovni URL sistemskih nastavitev spremeni."
"Apply MAP (Default Value)","Uporabite MAP (privzeta vrednost)"
"Apply To","Uporabite za"
"Approved","Odobreno"
"Are you sure you want to delete this category?","Ali ste prepričani, da želite to kategorijo izbrisati?"
"Are you sure you would like to remove all products from your comparison?","Ali ste prepričani, da želite odstraniti vse produkte iz vaše primerjave?"
"Are you sure you would like to remove this item from the compare products?","Ali ste prepričani, da želite ta element odstraniti iz primerjanja produktov?"
"Are you sure?","Ali ste prepričani?"
"As low as:","Najmanj kot:"
"Assign","Dodelite"
"Assign product link","Dodelite povezavo produkta"
"Assign product to category","Dodelite produkt kategoriji"
"Assigned Products","Dodeljeni produkti"
"Associated Products","Povezani produkti"
"Attrib. Set Name","Ime nabora atributov"
"Attribute ""%s"" is invalid.","Atribut ""%s"" ni veljaven."
"Attribute ""%s"" is required.","Atribut ""%s"" je obvezen."
"Attribute Information","Informacije atributa"
"Attribute Model","Model atributa"
"Attribute Name:","Ime atributa:"
"Attribute Set","Nabor atributov"
"Attribute Sets","Nabori atributov"
"Attribute add","Dodaj atribut"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Koda atributa ni veljavna. V tem polju uporabite samo črke (a-z), številke (0-9) ali podčrtaj (_), prvi znak mora biti črka."
"Attribute group with the \"/name/\" name already exists","Skupina atributa z imenom \"/name/\" že obstaja"
"Attribute remove","Odstranite atribut"
"Attribute with the same code already exists","Atribut z enako kodo že obstaja"
"Attributes","Atributi"
"Attrribute names can be specified per store.","Imena atributov so lahko določena glede na trgovino."
"Autogenerate","Avtomatsko generirajte"
"Availability:","Dostopnost:"
"Back","Nazaj"
"Backend Model","Model ozadja"
"Backend Table","Tabela ozadja"
