"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d pravil cen kataloga osnovanih na atribututu ""%s"" je bilo onemogočenih."
"Actions","Dejanja"
"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"An error occurred while deleting the rule. Please review the log and try again.","Med brisanjem pravila je prišlo do napake. Preglejte dnevnik in poskusite ponovno."
"An error occurred while saving the rule data. Please review the log and try again.","Med shranjevanjem podatkov pravila je prišlo do napake. Preglejte dnevnik in poskusite ponovno."
"Apply","Uporabi"
"Apply Rules","Uporabi pravila"
"Attribute Set","Nabor atributov"
"By Fixed Amount","S fiksnim zneskom"
"By Percentage of the Original Price","S procentom od originalne cene"
"Catalog","Katalog"
"Catalog Price Rule","Pravilo cen kataloga"
"Catalog Price Rules","Pravila cen kataloga"
"Category","Kategorija"
"Conditions","Pogoji"
"Conditions (leave blank for all products)","Pogoji (pustite prazno za vse produkte)"
"Conditions Combination","Kombinacija pogojev"
"Customer Groups","Skupine kupcev"
"Date Expire","Datum poteka"
"Date From","Datum od"
"Date Start","Začetni datum"
"Date To","Datum do"
"Description","Opis"
"Discount Amount","Znesek popusta"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Enable Discount to Subproducts","Omogoči popust na podprodukte"
"Expiration Date","Datum poteka"
"From Date","Datum od"
"General Information","Splošne informacije"
"ID","ID"
"Inactive","Neaktivno"
"New Rule","Novo pravilo"
"No","Ne"
"Options","Opcije"
"Priority","Prioriteta"
"Product Attribute","Atribut produkta"
"Promotions","Promocije"
"Rule Information","Informacije pravila"
"Rule Name","Ime pravila"
"Save and Apply","Shrani in uporabi"
"Save and Continue Edit","Shrani in nadaljuj urejanje"
"Start Date","Začetni datum"
"Status","Status"
"Stop Further Rules Processing","Končaj nadaljnje procesiranje pravil"
"The rule has been deleted.","Pravilo je bilo izbrisano."
"The rule has been saved.","Pravilo je bilo shranjeno."
"The rules have been applied.","Pravila so bila uporabljena."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Obstajajo pravila, ki so bila spremenjena, vendar niso uporabljena. Pravila lahko uporabljajo samo uporabniki z ekskluzivnim dostopom."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Obstajajo pravila, ki so bila spremenjena, vendar niso uporabljena. Kliknite na uporabo pravila, da vidite takojšnji učinek v katalogu."
"This rule no longer exists.","To pravilo ne obstaja več."
"To Date","Datum do"
"To Fixed Amount","Do fiksnega zneska"
"To Percentage of the Original Price","Do procenta originalne cene"
"Type","Tip"
"Unable to apply rules.","Pravil ni mogoče uporabiti."
"Unable to find a rule to delete.","Pravila za izbris ni mogoče najti."
"Update Prices Using the Following Information","Posodobite cene z uporabo sledečih informacij"
"Update product's %s %s: %s","Posodobi produkte %s %s: %s"
"Website","Spletna stran"
"Websites","Spletne strani"
"Wrong rule specified.","Določeno je napačno pravilo."
"Yes","Da"
