"%s was added to your shopping cart.","%s je bil dodan v vašo košarico."
"%s was updated in your shopping cart.","%s je bil posodobljen v vaši košarici."
"(Excl. Tax)","(brez davka)"
"(Incl. Tax)","(z davkom)"
"* Required Fields","* Zahtevana polja"
"Add New Address","Dodaj nov naslov"
"Add New Condition","Dodaj nov pogoj"
"Add coupon code for shopping cart","Dodaj kodo kupona za košarico"
"Add gift messages to shopping cart","Dodaj sporočila darila h košarici"
"Add product to shopping cart","Dodaj produkt v košarico"
"Add product(s) to shopping cart","Dodaj produkte v košarico"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjavo"
"Add to Wishlist","Dodaj na seznam želja"
"Additional Product Info","Dodatne informacije produkta"
"Address","Naslov"
"Address %s of %s","Naslov %s od %s"
"After Adding a Product Redirect to Shopping Cart","Po dodajanju produkta preusmerite na košarico"
"Allow Guest Checkout","Dovoli nakup gostom"
"Already registered?","Že registrirani?"
"An error occurred in the process of payment","Pri procesu plačila je prišlo do napake"
"An error occurred while deleting this condition.","Med brisanjem tega pogoja je prišlo do napake."
"An error occurred while saving this condition.","Med shranjevanjem tega pogoja je prišlo do napake."
"Apply","Omogoči"
"Apply Coupon","Uporabite kupon"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Ali ste prepričani, da želite zapustiti to stran? Ponovno boste morali iti skozi korake naročila."
"Are you sure you would like to remove this item from the shopping cart?","Ali ste prepričani, da želite odstraniti ta element iz košarice?"
"Back","Nazaj"
"Back to Billing Information","Nazaj na informacije izstavitve računa"
"Back to Select Addresses","Nazaj na izbiro naslovov"
"Back to Shipping Information","Nazaj na informacije dostave"
"Back to Shopping Cart","Nazaj na košarico"
"Based on your selection, you may be interested in the following items:","Na osnovi vaše izbire, vas bodo morda zanimali sledeči elementi:"
"Billing Address","Naslov za izstavitev računa"
"Billing Information","Informacije izstavitve računa"
"Billing Information - %s","Informacije izstavitve računa - %s"
"Can not remove the item.","Elementa ni mogoče odstraniti."
"Can not save item.","Elementa ni mogoče shraniti."
"Cancel","Prekličite"
"Cancel Coupon","Prekličite kupon"
"Cannot add item to the shopping cart.","Elementa ni možno dodati v košarico."
"Cannot add the item to shopping cart","Elementa ni možno dodati v košarico"
"Cannot add the item to shopping cart.","Elementa ni možno dodati v košarico."
"Cannot apply the coupon code.","Kode kupona ni možno uporabiti."
"Cannot configure product.","Nastavitev produktov ni možna."
"Cannot open the overview page","Odpiranje strani pregleda ni možno"
"Cannot process the item.","Procesiranje elementa ni možno."
"Cannot remove the item.","Odstranjevanje elementa ni možno."
"Cannot update shopping cart.","Posodobitev elementa ni možna."
"Cannot update the item.","Posodobitev elementa ni možna."
"Card Verification Number Visual Reference","Vizualna referenca potrditvene številke kartice"
"Cart","Košarica"
"Cart Product API","API produkta košarice"
"Cart Subtotal:","Vmesni seštevek košarice:"
"Change","Spremenite"
"Change Billing Address","Spremenite naslov za izstavitev računa"
"Checkbox Text","Tekst potrditvenega polja"
"Checkout","Nakup"
"Checkout Conditions","Pogoji nakupa"
"Checkout Forms Extra","Dodatki obrazca nakupa"
"Checkout Method","Način nakupa"
"Checkout Options","Možnosti nakupa"
"Checkout Progress Wrapper","Ovoj napredka nakupa"
"Checkout Section","Sekcija nakupa"
"Checkout Terms and Conditions","Pravila in pogoji nakupa"
"Checkout as Guest","Kupite kot gost"
"Checkout as a Guest or Register","Kupite kot gost ali pa se registrirajte"
"Checkout with Multiple Addresses","Nakup z večimi naslovi"
"City","Mesto"
"Clear Shopping Cart","Počistite košarico"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Kliknite <a href=""%s"" onclick=""this.target=\'_blank\'"">tu za tiskanje</a> kopije potrditve vašega naročila."
"Click <a href=""%s"">here</a> to continue shopping.","Kliknite <a href=""%s"">tu</a> za nadaljevanje nakupovanja."
"Close","Zaprite"
"Company","Podjetje"
"Condition Name","Ime pogoja"
"Configurable Product Image","Slika nastavljivega produkta"
"Configure Cart Item","Nastavite element košarice"
"Confirm Password","Potrdite geslo"
"Content","Vsebina"
"Content Height","Višina vsebine"
"Content Height (css)","Višina vsebine (css)"
"Continue","Nadaljujte"
"Continue Shopping","Nadaljujte nakupovanje"
"Continue to Billing Information","Nadaljujte na informacije izstavitve računa"
"Continue to Review Your Order","Nadaljujte na pregled vašega naročila"
"Continue to Shipping Information","Nadaljujte na informacije dostave"
"Country","Država"
"Coupon code ""%s"" is not valid.","Koda kupona ""%s"" ni veljavna."
