"1.5.0.0 & later","1.5.0.0 in kasnejše"
"Action","Dejanje"
"Add Author","Dodaj avtorja"
"Add Contents Path","Dodaj pot vsebin"
"Add PHP Extension dependency","Dodaj odvisnost razširitve PHP"
"Add Package dependency","Dodaj odvisnost paketa"
"Add files","Dodaj datoteke"
"Authors","Avtorji"
"Channel","Kanal"
"Contents","Vsebine"
"Create Extension Package","Ustvari paket razširitve"
"Dependencies","Odvisnosti"
"Description","Opis"
"Edit Extension","Uredi razširitev"
"Email","E-pošta"
"Extension","Razširitev"
"Extensions","Razširitve"
"Failed to create the package.","Ustvarjanje paketa ni uspelo."
"Failed to load the package data.","Nalaganje podatkov paketa ni uspelo."
"Failed to save the package.","Shranjevanje paketa ni uspelo."
"Files","Datoteke"
"Folder","Mapa"
"Ignore","Ignoriraj"
"Include","Vključi"
"License","Licenca"
"License URI","URI licence"
"Load Local Package","Naloži lokalni paket"
"Load local Package","Naloži lokalni paket"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Upravitelj Magento Connect"
"Max","Največ"
"Maximum","Največ"
"Min","Najmanj"
"Minimum","Najmanj"
"Name","Ime"
"New Extension","Nova razširitev"
"PHP Version","Verzija PHP"
"Package","Paket"
"Package Extensions","Razširitve paketa"
"Package File Name","Ime datoteke paketa"
"Package Info","Informacije o paketu"
"Packages","Paketi"
"Path","Pot"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informacije izdaje"
"Remove","Odstrani"
"Save As...","Shrani kot ..."
"Save Data and Create Package","Shrani podatke in ustvari paket"
"Save package with custom package file name","Shrani paket z imenom datoteke paketa po meri"
"Summary","Povzetek"
"Supported releases","Podprte izdaje"
"System","Sistem"
"Target","Cilj"
"The package %s data has been loaded.","Podatki paketa %s so bili naloženi."
"The package data has been saved.","Podatki paketa so bili shranjeni."
"There was a problem saving package data","Pri shranjevanju podatkov paketa je prišlo do težave"
"Type","Vrsta"
"User","Uporabnik"
