"%s","%s"
"%s already exist.","%s že obstaja."
"%s already exists.","%s že obstaja."
"-- Please Select --","-- Izberite --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Opozorilo!</strong> Ko je v uporabi CDN, se v nekaterih primerih JavaScript lahko ne požene ustrezno, če CDN ni v vaši poddomeni"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Opozorilo!</strong> Ko je koda trgovine uporabljena v URL-jih, sistem v nekaterih primerih ne bo  deloval ustrezno, če so URL-ji brez kode trgovine določeni v tretje osebnih storitvah (npr. PayPal itd.)."
"A category object is required for determining the product request path.","Objekt kategorije je zahtevan za določitev poti zahtevka izdelka."
"Add Block Names to Hints","Dodaj imena blokov v namige"
"Add Secret Key To Url","Dodaj skrivni ključ v URL"
"Add Secret Key to URLs","Dodaj skrivni ključ v URL-je"
"Add Store Code to Urls","Dodaj kodo trgovine v URL-je"
"Admin","Admin"
"Admin Base URL","Osnovni admin URL"
"Admin User Emails","Administracija e-pošt uporabnikov"
"Admin routing compatibility mode for extensions","Administracija načina združljivosti usmerjanja za razširitve"
"Advanced","Napredno"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Po izbiri nove lokacije shrambe medijev, pritisnite gumb za sinhronizacijo,
                                da prenesete vso medijsko vsebino na to lokacijo. Medijska vsebina ne bo na voljo na novi lokaciji
                                dokler proces sinhronizacije ni zaključen."
"Allow Countries","Dovoli države"
"Allow Magento Backend to run in frame","Dovoli, da se ozadje Magento poganja v okvirju"
"Allow Magento Frontend to run in frame","Dovoli, da se ospredje Magento poganja v okvirju"
"Allow Symlinks","Dovoli simbolične povezave"
"Allowed IPs (comma separated)","Dovoljeni IP-ji (ločeni z vejico)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Dovoljene vrste datotek: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Vsi brskalniki ne podpirajo vseh teh formatov!"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Dovoljene vrste datotek: ICO, PNG, GIF, JPG, JPEG, APNG. Vsi brskalniki ne podpirajo vseh teh formatov!"
"Allows customers to stay logged in when switching between different stores.","Dovoli, da kupci ostanejo prijavljeni, ko se preklaplja med različnimi trgovinami."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativni tekst za naslednjo povezavo v meniju paginacije. Če je prazno, bo uporabljena privzeta slika puščice."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativni tekst za prejšnjo povezavo v meniju paginacije. Če je prazno, bo uporabljena privzeta slika puščice."
"An error occurred while saving. Please review the error log.","Med shranjevanjem je prišlo do napake. Preglejte dnevnik napak."
"Anchor Text for Next","Tekst sidra za Naslednja"
"Anchor Text for Previous","Tekst sidra za Prejšnja"
"Anchor symbol (#) is not supported in request path","Simbol sidra (#) ni podprt v poti zahtevka"
"Anchor symbol (#) is not supported in url rewrite suffix","Simbol sidra (#) ni podprt v priponi prepisa URL-ja"
"Are you sure?","Ali ste prepričani?"
"Auto-redirect to Base URL","Samodejna preusmeritev na osnovni URL"
"Back","Nazaj"
"Backup Options","Možnosti varnostne kopije"
"Base JavaScript URL","Osnovni JavaScript URL"
"Base Link URL","URL osnovne povezave"
"Base Media URL","Osnovni URL medijev"
"Base Secure URL","Osnovni zaščiteni URL"
"Base Skin URL","Osnovni URL izgleda"
"Base URL","Osnovni URL"
"Base Unsecure URL","Osnovni nezaščiteni URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Pred spreminjanjem kode pogleda trgovine, preverite, da ni uporabljena v index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Pred spreminjanjem kode spletne strani, preverite, da ni uporabljena v index.php."
"Block with name ""%s"" already exists","Blok z imenom ""%s"" že obstaja"
"Browser Capabilities Detection","Zaznavanje zmožnosti brskalnika"
"CSRF protection","Zaščita CSRF"
"CSS Settings","Nastavitve CSS"
"Cache Storage Management","Upravitelj shrambe predpomnilnika"
"Cache storage may contain additional data. Are you sure that you want flush it?","Shramba predpomnilnika lahko vsebuje dodatne podatke. Ali ste prepričani, da ga želite izprazniti?"
"Can not create invoice. Order was not found.","Računa ni mogoče ustvariti. Naročilo ni bilo najdeno."
"Can't retrieve request object","Objekta zahtevka ni mogoče pridobiti"
"Can\'t retrieve entity config: %s","Nastavitve entitete %s ni mogoče pridobiti."
"Cancel","Preklic"
"Cannot complete this operation from non-admin area.","Te operacije ni mogoče dokončati izven administracijskega področja."
"Card type does not match credit card number.","Vrsta kartice se ne ujema s številko kreditne kartice."
"Code","Koda"
"Controller file was loaded but class does not exist","Datoteka krmilnika je bila naložena, vendar razred ne obstaja"
"Cookie Domain","Domena piškotka"
"Cookie Lifetime","Življenjska doba piškotka"
"Cookie Path","Pot piškotka"
"Cookie Restriction Mode","Način omejitve piškotka"
"Copyright","Avtorske pravice"
"Core","Jedro"
"Countries Options","Možnosti držav"
"Country","Država"
"Create Store","Ustvarite trgovino"
"Create Store View","Ustvarite pogled trgovine"
"Create Website","Ustvarite spletno stran"
"Credit card number does not match credit card type.","Številka kreditne kartice se ne ujema z vrsto kreditne kartice."
"Current Package Name","Ime trenutnega paketa"
"Custom Admin Path","Pot administracije po meri"
"Custom Admin URL","Administracijski URL po meri"
"Custom Design","Oblika po meri"
"Custom Email 1","E-pošta 1 po meri"
"Custom Email 2","E-pošta 2 po meri"
"Custom Variables","Spremenljivke po meri"
"Custom1 Contact Email","Kontaktna e-pošta po meri 1"
"Custom1 Contact Name","Kontaktno ime po meri 1"
"Custom2 Contact Email","Kontaktna e-pošta po meri 2"
"Custom2 Contact Name","Kontaktno ime po meri 2"
"Customer Support","Podpora za kupce"
"Dashboard","Nadzorna plošča"
"Date From","Datum od"
"Date To","Datum do"
"Date/time format ""%s"" is not supported.","Oblika datum/čas ""%s"" ni podprta."
"Debug","Razhroščevanje"
"Default","Privzeto"
"Default Country","Privzeta država"
"Default Description","Privzeti opis"
"Default Keywords","Privzete ključne besede"
"Default No-route URL","Privzeti URL brez usmeritve"
"Default Pages","Privzete strani"
"Default Robots","Privzeti roboti"
"Default Store","Privzeta trgovina"
"Default Store View","Privzeti pogled trgovine"
"Default Title","Privzeti naslov"
"Default Web URL","Privzeti spletni URL"
"Delete","Izbris"
"Delete Store","Izbris trgovine"
"Delete Store View","Izbris pogleda trgovine"
"Delete Website","Izbris spletne strani"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Izbris %1$s ne bo odstranil povezanih informacij %1$s (npr. kategorije, izdelki itd.), vendar za %1$s obnovitev ne bo možna. Predlaga se, da ustvarite varnostno kopijo podatkovne baze preden brišete %1$s."
"Design","Oblika"
"Design Change","Sprememba oblike"
"Developer","Razvijalec"
"Developer Client Restrictions","Omejitve med naročnikom in razvijalcem"
"Disable Email Communications","Onemogoči e-poštno komunikacijo"
"Disable Modules Output","Onemogoči izpis modulov"
"Display Demo Store Notice","Prikaži obvestilo demo trgovine"
"Duplicate Of Template Name","Podvoji ime predloge"
"Edit Design Change","Urejanje sprememb oblike"
"Edit Store","Urejanje trgovine"
"Edit Store View","Urejanje pogleda trgovine"
"Edit Website","Urejanje spletne strani"
"Email - Footer","E-pošta - noga"
"Email - Header","E-pošta - glava"
"Email Footer Template","Predloga noge e-pošte"
"Email Header Template","Predloga glave e-pošte"
"Empty identifier field name","Sprazni identifikator imena polja"
"Empty main table name","Sprazni ime glavne tabele"
"Enable Charts","Omogoči grafe"
"Enabled","Omogočeno"
"Enabled for Admin","Omogočeno za administratorja"
"Enabled for Frontend","Omogočeno za ospredje"
"Enabling ability to run Magento in a frame is not recommended for security reasons.","Omogočanje možnosti pogona Magenta v okvirju ni priporočena zaradi varnostnih razlogov."
"Enabling this setting increases risk of automated attacks against admin functionality.","Omogočanje te nastavitve poveča tveganje avtomatiziranih napadov na funkcionalnost administracije."
"Environment Update Time","Čas posodobitve okolja"
"Error in file: ""%s"" - %s","Napaka v datoteki: ""%s"" - %s"
"European Union Countries","Države Evropske unije"
"Exceptions Log File Name","Ime datoteke beleženja izjem"
"Favicon Icon","Ikona favicon"
"File %s does not exist","Datoteka %s ne obstaja"
"File %s is not readable","Datoteka %s ni berljiva"
"File not found","Datoteke ni mogoče najti"
"File system","Datotečni sistem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Datoteka s končnico ""%value%"" je zaščitena in je ni mogoče naložiti"
"First Day of Week","Prvi dan v tednu"
"Flush Cache Storage","Sprazni shrambo predpomnilnika"
"Flush Magento Cache","Sprazni predpomnilnik Magento"
"Footer","Noga"
"Forgot Password Email Sender","Pošiljatelj e-pošte pozabljenega gesla"
"Forgot Password Email Template","Predloga e-pošte pozabljenega gesla"
"General","Splošno"
"General Contact","Splošni kontakt"
"General Contact Email","E-pošta splošnega kontakta"
"General Contact Name","Ime spošnega kontakta"
"General Settings","Splošne nastavitve"
"Get info about current Magento installation","Dobite informacije o trenutni namestitvi Magento"
"Global","Globalno"
"HTML Head","HTML glava"
"HTML tags are not allowed","HTML značke niso dovoljene"
"Header","Glava"
"Host","Gostitelj"
"How many links to display at once.","Koliko povezav prikazati naenkrat."
"ID Path for Specified Store","ID poti za določeno trgovino"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Če pozicija trenutnega okvirja ne pokriva vseh strani, se bo izpisala povezava na trenutno pozicijo plus/minus ta vrednost."
"Incorrect credit card expiration date.","Napačen datum poteka kreditne kartice."
"Input type ""%value%"" not found in the input types list.","Vnosnega tipa ""%value%"" ni mogoče najti na seznamu vnosnih tipov."
"Invalid MIME type.","Neveljavna vrsta MIME."
"Invalid URL '%value%'.","Neveljaven URL '%value%'."
"Invalid base url type","Neveljaven tip osnovnega URL-ja"
"Invalid block type: %s","Neveljaven tip bloka: %s"
"Invalid block: %s","Neveljaven blok: %s"
"Invalid connection","Neveljavna povezava"
"Invalid date","Neveljaven datum"
"Invalid layout update handle","Neveljaven oprimek posodobitve postavitve"
"Invalid messages storage ""%s"" for layout messages initialization","Neveljavna shramba sporočil ""%s"" za inicializacijo sporočil postavitve"
