" or "," ali "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' se zdi, da je DNS ime gostitelja, vendar TLD dela ni mogoče izločiti"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' se zdi, da je DNS ime gostitelja, vendar se ne ujema s TLD glede na znani seznam"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' zgleda, da je DNS ime gostitelja, vendar se ne ujema glede na shemo imena gostitelja za TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' se zdi, da je DNS ime gostitelja, vendar vsebuje pomišljaj na napačnem mestu"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' se zdi, da je DNS ime gostitelja, vendar dane notacije punycode ne uspe dekodirati"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' se zdi, da je ime lokalnega omrežja, vendar imena lokalnih omrežij niso dovoljena"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' se zdi, da je IP naslov, vendar IP naslovi niso dovoljeni"
"'%value%' does not appear to be a valid local network name","'%value%' ne izgleda, da je veljavno ime lokalnega omrežja"
"* Required Fields","* Zahtevana polja"
"ALL GROUPS","VSE SKUPINE"
"Account Dashboard","Plošča računa"
"Account Information","Informacije računa"
"Account Sharing Options","Možnosti deljenja računa"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Potrditev računa je obvezna. Preverite vašo e-pošto za potrditveno povezavo. Za ponovno pošiljanje potrditvene e-pošte <a href=""%s"">kliknite tu</a>."
"Action","Akcija"
"Add New Address","Dodaj nov naslov"
"Add New Customer","Dodaj novega kupca"
"Add New Customer Group","Dodaj novo skupino kupcev"
"Added From","Dodano preko"
"Additional Address Entries","Dodatni vnosi naslovov"
"Address","Naslov"
"Address Book","Knjiga naslovov"
"Address Books","Knjige naslovov"
"Address Information","Informacije naslova"
"Address Templates","Predloge naslovov"
"Addresses","Naslovi"
"Admin","Admin"
"All","Vse"
"All Store Views","Vsi pogledi trgovine"
"All countries","Vse države"
"Always optional.","Vedno neobvezno."
"Amount","Znesek"
"An error occurred while deleting the address.","Pri brisanju naslova je prišlo do napake."
"An error occurred while retrieving the option value: %s.","Do napake je prišlo pri pridobivanju vrednosti možnosti: %s."
"An error occurred while saving the collection, aborting. Error: %s","Pri shranjevanju zbirke je prišlo do napake, zaustavljanje. Napaka: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Za %s (%s) je določen neveljaven ID možnosti, vnos je preskočen."
"Approved","Odobreno"
"Are you sure that you want to remove this item?","Ali ste prepričani, da želite odstraniti ta element?"
"Are you sure you want to cancel adding of this address?","Ali ste prepričani, da želite preklicati dodajanje tega naslova?"
"Are you sure you want to delete this address?","Ali ste prepričani, da želite izbrisati ta naslov?"
"Are you sure?","Ali ste prepričani?"
"Array of Entity collections is expected.","Pričakuje se polje zbirk entit."
"Assign a Customer Group","Dodeli skupino kupcev"
"Average Sale","Povprečna prodaja"
"Back","Nazaj"
"Back - link to the previously viewed page","Nazaj - povezava na prejšnjo ogledano stran"
"Back to Login","Nazaj na prijavo"
"Bad request.","Slaba zahteva."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Na osnovi ID za DDV bi kupec pripadal skupini kupcev %s."
"Bill to Name","Izstavitev računa na ime"
"Bought From","Kupljeno od"
"By Email","Po e-pošti"
"By IP","Po IP"
"By IP and Email","Po IP in e-pošti"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Z ustvarjanjem računa v naši trgovini, se boste lahko hitreje pomikali skozi postopek naročila, shranili več naslovov za dostavo, pogledali in sledili vašim naročilom v vašem računu in še več."
"CSV","CSV"
"Cancel","Prekliči"
"Cannot save a new password.","Novega gesla ni mogoče shraniti."
"Cannot save address.","Naslova ni mogoče shraniti."
"Cannot save the customer.","Kupca ni mogoče shraniti."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Globalno deljenje računov kupcev ni možno, ker obstajajo nekateri računi kupcev z enakimi e-poštami na večih spletnih straneh in jih ni mogoče združiti."
"Change Account Data","Sprememba podatkov računa"
"Change Account Password","Sprememba gesla računa"
"Change Billing Address","Sprememba naslova za izdajo računa"
"Change Password","Sprememba gesla"
"Change Shipping Address","Sprememba naslova za dostavo"
"Changed Email or Password Email Template","Predloga spremenjene e-pošte ali gesla"
"Changed Password or Email","Spremenjeno geslo ali e-pošta"
"City","Mesto"
"Company","Podjetje"
"Config","Nastavitve"
"Configure","Nastavite"
"Confirm New Password","Potrdi novo geslo"
"Confirm Password","Potrdite geslo"
"Confirmation Link Email","E-pošta za potrditveno povezavo"
"Confirmed","Potrjeno"
"Contact Information","Informacije kontakta"
"Continue Shopping","Nadaljujte nakupovanje"
"Country","Država"
"Create","Ustvari"
"Create New Account Options","Možnosti ustvarjanja novega računa"
"Create New Customer Account","Ustvarite nov račun kupca"
"Create Order","Ustvarite naročilo"
"Create an Account","Ustvarite račun"
"Create customer","Ustvarite kupca"
"Create customer address","Ustvarite naslov kupca"
"Current Admin Password","Trenutno administracijsko geslo"
"Current Password","Trenutno geslo"
"Customer","Kupec"
"Customer API","API kupcev"
"Customer Account Edit Form","Obrazec za urejanje računa kupca"
"Customer Account Login Form","Obrazec za prijavo računa kupca"
"Customer Account Logout Success","Uspešna odjava računa kupca"
"Customer Account Registration Form","Obrazec registracije računa kupca"
"Customer Addresses","Naslovi kupca"
"Customer Configuration","Nastavitve kupca"
"Customer Forgot Password Form","Obrazec za pozabljeno geslo kupca"
"Customer Group","Skupina kupcev"
"Customer Groups","Skupine kupcev"
"Customer Information","Informacije kupca"
"Customer Login","Prijava kupca"
"Customer My Account (All Pages)","Moj račun kupca (vse strani)"
"Customer My Account Address Book","Knjiga naslovov mojega računa kupca"
"Customer My Account Address Edit Form","Obrazec za urejanje naslova mojega računa kupca"
"Customer My Account Dashboard","Plošča mojega računa kupca"
"Customer Since","Kupec od"
"Customer View","Pogled kupca"
"Customer collection expected.","Pričakovana zbirka kupcev."
"Customer email is required","E-pošta kupca je obvezna"
"Customer website ID must be specified when using the website scope","ID spletne strani kupca mora biti določeno, ko se uporablja obseg spletne strani"
"Customer will stay on the current page if ""No"" is selected.","Kupec bo ostal na trenutni strani, če je izbrano ""Ne""."
"Customers","Kupci"
"Customers Only","Samo kupci"
"Customers Section","Sekcija kupcev"
"DD","DD"
"Date","Datum"
"Date Added","Dodan datum"
"Date of Birth","Rojstni datum"
"Day","Dan"
"Days in Wishlist","Dnevi v seznamu želja"
"Default Addresses","Privzeti naslovi"
"Default Billing Address","Privzeti naslov za izstavitev računa"
"Default Email Domain","Privzeta domena e-pošte"
"Default Group","Privzeta skupina"
"Default Shipping Address","Privzeti naslov za dostavo"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Privzeta vrednost za onemogočiti samodejne spremembe skupine na osnovi ID za DDV"
"Default Welcome Email","Privzeta pozdravna e-pošta"
"Delete","Izbriši"
"Delete Address","Izbriši naslov"
"Delete Customer","Izbriši kupca"
"Delete Customer Group","Izbriši skupino kupcev"
"Delete customer","Izbriši kupca"
"Delete customer address","Izbriši naslov kupca"
"Deleted Stores","Izbrisane trgovine"
"Details","Podrobnosti"
"Disabled","Onemogočeno"
"Edit","Urejanje"
"Edit Account Info","Uredi informacije računa"
"Edit Account Information","Uredi informacije računa"
"Edit Address","Uredi naslov"
"Edit Address Entry","Uredi vnos naslova"
"Edit Customer Group ""%s""","Uredi skupino kupcev ""%s"""
"Edit Customer Groups","Uredi skupine kupcev"
"Edit Customer's Address","Uredi naslov kupca"
"Edit Group","Uredi skupino"
"Edit Newsletters","Uredi e-novice"
"Edit address","Uredi naslove"
"Email","E-pošta"
"Email Address","E-poštni naslov"
"Email Sender","Pošiljatelj e-pošte"
"Email:","E-pošta:"
"Enable Automatic Assignment to Customer Group","Omogoči samodejno dodelitev skupini kupcev"
"Entity collection is expected.","Pričakovana je zbirka entitet."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Potrditev računa kupca ni uspešna."
"Fax","Faks"
"First Name","Ime"
"Forgot Email Template","Predloga pozabljene e-pošte"
"Forgot Password","Pozabili geslo?"
"Forgot Your Password","Pozabili vaše geslo?"
"Forgot Your Password?","Pozabili vaše geslo?"
"Forgot and Remind Email Sender","Pošiljatelj pozabljene in opomnjene e-pošte"
"Forgot password flow secure","Varni potek pozabljenega gesla"
"Forgot password requests to times per 24 hours from 1 e-mail","Št. zahtevkov pozabljenega gesla na 24 ur iz 1 e-pošte"
"Forgot password requests to times per hour from 1 IP","Št. zahtevkov pozabljenega gesla na uro iz 1 IP-ja"
"Form Fields Before","Polja obrazca pred"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Iz vaše plošče mojega računa imate možnost pogledati posnetek vaše nedavne dejavnosti računa in posodobiti informacije vašega računa. Izberite spodnjo povezavo za pogled in urejanje informacij."
"Gender","Spol"
"Gender is required.","Spol je obvezen."
"General Subscription","Splošna naročnina"
"Generate Human-Friendly Customer ID","Generiraj ljudem-prijazen ID kupca"
"Global","Globalno"
"Group","Skupina"
"Group Information","Informacije skupine"
"Group Name","Ime skupine"
"Group for Invalid VAT ID","Skupina za neveljavne ID za DDV"
"Group for Valid VAT ID - Domestic","Skupina za veljavne ID za DDV - domači"
"Group for Valid VAT ID - Intra-Union","Skupina za veljavne ID za DDV - Intra-Union"
"Guest","Gost"
"HTML","HTML"
"Hello, %s!","Pozdravljeni, %s!"
"ID","ID"
"IP Address","IP naslov"
"If you believe this is an error, please contact us at %s","Če mislite, da je to napaka, prosimo, da nas kontaktirate na %s"
"If you have an account with us, please log in.","Če imate pri nas račun, se prijavite."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Določena neveljavna možnost atributa za atribut %s (%s), vnos je preskočen."
"Invalid attribute set specified, skipping the record.","Določen neveljaven nabor atributov, vnos preskočen."
"Invalid billing address for (%s)","Neveljaven naslov za izstavitev računa za (%s)"
"Invalid current password","Neveljavno trenutno geslo"
"Invalid customer data","Neveljavni podatki kupca"
"Invalid email address ""%s"".","Neveljaven naslov e-pošte ""%s""."
"Invalid email address.","Neveljaven naslov e-pošte."
"Invalid login or password.","Neveljavna prijava ali geslo."
"Invalid password reset token.","Neveljaven žeton ponastavitve gesla."
"Invalid shipping address for (%s)","Neveljaven naslov za dostavo za (%s)"
"Invalid store specified, skipping the record.","Določena je neveljavna trgovina, vnos preskočen."
"Invalid website, skipping the record, line: %s","Neveljavna spletna stran, vnos preskočen, vrstica: %s"
"Last Activity","Zadnja dejavnost"
"Last Date Subscribed","Zadnji datum naročnine"
"Last Date Unsubscribed","Zadnji datum preklica naročnine"
"Last Name","Priimek"
"Last URL","Zadnji URL"
"Leave empty for default (15 minutes).","Pustite prazno za privzeto (15 minut)."
"Leave empty for default (2). Valid range: 1-4","Pustite prazno za privzeto (2). Veljavno razpon: 1-4"
"Lifetime Sales","Življenjska doba prodaje"
"Log In","Prijava"
"Log Out","Odjava"
"Login","Prijava"
"Login Information","Informacije prijave"
"Login Options","Možnosti prijave"
"Login and password are required.","Prijava in geslo sta obvezna."
"Login or Create an Account","Prijavite se ali pa ustvarite račun"
"MM","MM"
"Manage Addresses","Upravljanje naslovov"
"Manage Customers","Upravljanje kupcev"
"Maximum length must be less then %s symbols","Največja dolžina mora biti manjša od %s simbolov"
"Middle Name","Srednje ime"
"Missing email, skipping the record, line: %s","Manjkajoča e-pošta, vnos preskočen, vrstica: %s"
"Missing email, skipping the record.","Manjkajoča e-pošta, vnos preskočen."
"Missing first name, skipping the record, line: %s","Manjkajoče ime, vnos preskočen, vrstica: %s"
"Missing firstname, skipping the record.","Manjkajoče ime, vnos preskočen."
"Missing last name, skipping the record, line: %s","Manjkajoči priimek, vnos preskočen, vrstica: %s"
"Missing lastname, skipping the record.","Manjkajoči priimek, vnos preskočen."
"Missing website, skipping the record, line: %s","Manjkajoča spletna stran, vnos preskočen, vrstica: %s"
"Month","Mesec"
"My Account","Moj račun"
"My Account Wrapper","Ovitek mojega računa"
"My Dashboard","Moja plošča"
"My Orders","Moja naročila"
"Name","Ime"
"Name and Address Options","Možnosti imena in naslova"
"Never","Nikoli"
"New Address","Nov naslov"
"New Address Entry","Nov vnos naslova"
"New Customer","Nov kupec"
"New Customer Address","Nov naslov kupca"
"New Customer Group","Nova skupina kupcev"
"New Customer Groups","Nove skupine kupcev"
"New Customers","Novi kupci"
"New Group","Nova skupina"
"New Password","Novo geslo"
"New account","Nov račun"
"New account confirmation key","Potrditveni ključ novega računa"
"New account confirmed","Nov račun potrjen"
"New password field cannot be empty.","Polje novega gesla ne sme biti prazno."
"Newsletter","E-novice"
"Newsletter Finish","E-novice konec"
"Newsletter Information","Informacije e-novic"
"Newsletter Received","E-novice prejete"
"Newsletter Start","E-novice začetek"
"Newsletter Subscription","Naročnina e-novic"
"Newsletters","E-novice"
"No Items Found","Elementi niso bili najdeni"
"No Newsletter Found","E-novice niso bile najdene"
"No customer collections found","Zbirke kupca niso bile najdene"
"No item specified.","Element ni določen."
"Not Sent","Ni poslano"
"Not confirmed, can login","Ni potrjeno, prijava možna"
"Not confirmed, cannot login","Ni potrjeno, prijava ni možna"
"Number of Lines in a Street Address ","Število vrstic za ulico naslova "
"Offline","Brez povezave"
"Online","Na spletu"
"Online Customers","Kupci na spletni strani"
"Online Customers Options","Možnosti kupcev na spletni strani"
"Online Minutes Interval","Interval minut na spletni strani"
"Order #","Naročilo #"
"Order Total","Naročilo skupaj"
"Orders","Naročila"
"PDF","PDF"
"Password","Geslo"
"Password Management","Upravitelj gesla"
"Password Options","Možnosti gesla"
"Password forgotten","Pozabljeno geslo"
"Password:","Geslo:"
"Paused","Začasno ustavljeno"
"Pending","Na čakanju"
"Per Website","Na spletno stran"
"Personal Information","Osebne informacije"
"Please enter a number 1 or greater in this field.","V to polje vnesite številko 1 ali več."
"Please enter a valid date between %s and %s at %s.","Vnesite veljaven datum med %s in %s pri %s."
"Please enter a valid date equal to or greater than %s at %s.","Vnesite veljaven datum enak ali večji od %s pri %s."
"Please enter a valid date less than or equal to %s at %s.","Vnesite veljaven datum manjši ali enak %s pri %s."
"Please enter the city.","Vnesite mesto."
"Please enter the country.","Vnesite državo."
"Please enter the first name.","Vnesite ime."
"Please enter the last name.","Vnesite priimek."
"Please enter the state/province.","Vnesite zvezno državo/provinco."
"Please enter the street.","Vnesite ulico."
"Please enter the telephone number.","Vnesite telefonsko številko."
"Please enter the zip/postal code.","Vnesite poštno številko."
"Please enter your email address below. You will receive a link to reset your password.","Spodaj vnesite vaš naslov e-pošte. Prejeli boste povezavo za ponastavitev vašega gesla."
"Please enter your email below and we\'ll send you confirmation link for it.","Spodaj vnesite vašo e-pošto in poslali vam bomo potrditveno povezavo."
"Please enter your email.","Vnesite vašo e-pošto."
"Please make sure your passwords match.","Preverite, da se vaši gesli ujemata."
"Please select a website which contains store view","Izberite spletno stran, ki vsebuje pogled trgovine"
"Please select region, state or province","Izberite regijo, zvezno državo ali provinco"
"Please, check your email for confirmation key.","Za potrditveni ključ preverite vašo e-pošto."
"Prefix Dropdown Options","Predpona možnosti spustnega seznama"
"Price","Cena"
"Product","Produkt"
"Product ID","ID produkta"
"Product Name","Ime produkta"
"Product Reviews","Pregledi produkta"
"Product Tags","Oznake produkta"
"Purchase On","Čas nakupa"
"Purchased On","Čas nakupa"
"Qty","Količina"
"Recent Orders","Nedavna naročila"
"Records for %s store found.","Vnosi za trgovino %s so najdeni."
"Recovery Link Expiration Period (days)","Obdobje poteka obnovitvene povezave (dnevi)"
"Recovery Link Expiration Period (hours)","Obdobje poteka obnovitvene povezave (ure)"
"Redirect Customer to Account Dashboard after Logging in","Po prijavi preusmeri kupca na ploščo računa"
"Refunded","Povrnjeno"
"Register","Registracija"
"Registered Customers","Registrirani kupci"
"Remind Email Template","Predloga e-pošte opomnika"
"Remind Password","Opomnik gesla"
"Remove","Odstrani"
"Remove address","Odstrani naslov"
"Require Emails Confirmation","Zahtevana potrditev e-pošte"
"Require admin user to change user password","Zahtevano, da administratorski uporabnik spremeni uporabniško geslo"
"Reset a Password","Ponastavitev gesla"
"Retrieve address data","Pridobitev podatkov naslova"
"Retrieve address info","Pridobitev informacij naslova"
"Retrieve customer addresses","Pridobitev naslovov kupca"
"Retrieve customer data","Pridobitev podatkov kupca"
"Retrieve customer groups","Pridobitev skupin kupca"
"Retrieve customer info","Pridobitev informacij kupca"
"Retrieve customers","Pridobitev kupcev"
"Retrieve your confirmation link here","Pridobite vašo potrditveno povezavo"
"Retrieve your password here","Pridobite vaše geslo"
"SKU","SKU"
"Sales Statistics","Prodajna statistika"
"Save","Shrani"
"Save Address","Shrani naslov"
"Save Customer","Shrani kupca"
"Save Customer Group","Shrani skupino kupcev"
"Save Password","Shrani geslo"
"Save and Continue Edit","Shrani in nadaljuj urejanje"
"Saved %d record(s)","Shranjeno št. vnosov: %d"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Vrednosti ločene s podpičjem (;).<br/>Za prazno prvo možnost dajte na začetek podpičje.<br/>Pustite prazno za odprto tekstovno polje."
"Send Auto-Generated Password","Pošlji avtomatsko generirano geslo"
"Send From","Poslano od"
"Send Welcome Email","Pošlji pozdravno e-pošto"
"Send Welcome Email after Confirmation","Pošlji pozdravno e-pošto po potrditvi"
"Send confirmation link","Pošlji potrditveno povezavo"
"Sending","Pošiljanje"
"Sent","Poslano"
"Session Start Time","Začetek seje"
"Set as Default Billing Address","Nastavi kot privzeti naslov za izstavitev računa"
"Set as Default Shipping Address","Nastavi kot privzeti naslov za dostavo"
"Share Customer Accounts","Deli račune kupcev"
"Shipped to First Name","Dostava na ime"
"Shipped to Last Name","Dostava na priimek"
"Shipped to Name","Dostava na ime"
"Shopping Cart","Košarica"
"Shopping Cart - %d item(s)","Košarica - št. elementov: %d"
"Shopping Cart of %1$s - %2$d item(s)","Košarica elementov od %1$s - %2$d"
"Show Date of Birth","Prikaz rojstnega datuma"
"Show Gender","Prikaz spola"
"Show Middle Name (initial)","Prikaz srednjega imena (začetnica)"
"Show Prefix","Prikaz predpone"
"Show Suffix","Prikaz pripone"
"Show Tax/VAT Number","Prikaz davčne številke/ID za DDV"
"Show VAT Number on Frontend","Prikaz ID za DDV na ospredju"
"Sign Up for Newsletter","Prijavite se na e-novice"
"Skipping import row, required field ""%s"" is not defined.","Preskočena vrstica uvoza, obvezno polje ""%s"" ni določeno."
"Skipping import row, website ""%s"" field does not exist.","Preskočena vrstica uvoza, polje spletne strani ""%s"" ne obstaja."
"State/Province","Zvezna država/provinca"
"Status","Status"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Street Address","Ulica naslova"
"Street Address %s","Ulica naslova %s"
"Subject","Zadeva"
"Submit","Pošlji"
"Subscribe to Newsletter","Naročite se na e-novice"
"Subscribed to Newsletter?","Naročeni na e-novice?"
"Suffix Dropdown Options","Predpona možnosti spustnega seznama"
"Tag Name","Ime oznake"
"Tax Calculation Based On","Izračun davka na osnovi"
"Tax Class","Davčni razred"
"Tax/VAT number","Davčna številka/ID za DDV"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst v eni vrstici"
"Thank you for registering with %s.","Hvala za registracijo pri %s."
"The Date of Birth is required.","Rojstni datum je obvezen."
"The TAX/VAT number is required.","Davčna številka/ID za DDV je obvezna."
"The VAT ID entered (%s) is not a valid VAT ID.","Vnešeni ID za DDV (%s) ni veljaven ID za DDV."
