"-- Please select --","-- Izberite --"
"Allowed Currencies","Dovoljene valute"
"Base Currency","Osnovna valuta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Osnovna valuta je uporabljena za vse spletne plačilne transakcije. Obseg je definiran z obsegom cenovnega kataloga (""Katalog"" > ""Cena"" > ""Obseg kataloga cen"")."
"Can\'t convert rate from ""%s-%s"".","Pretvorba stopnje iz ""%s-%s"" ni možna."
"Cannot retrieve rate from %s.","Pridobitev stopnje iz %s ni možna."
"Connection Timeout in Seconds","Povezava je časovno potekla v sekundah"
"Continue &raquo;","Nadaljujte &raquo;"
"Country","Država"
"Country API","API države"
"Country and Format Type combination should be unique","Kombinacija države in vrste formata bi morala biti unikatna"
"Currency","Valuta"
"Currency Options","Opcije valute"
"Currency Setup","Nastavitev valute"
"Currency Update Warnings","Opozorila posodobitve valute"
"Default Display Currency","Privzeta prikazana valuta"
"Directory","Direktorij"
"Display not required State","Prikažite nezahtevano zvezno državo"
"Enabled","Omogočeno"
"Error Email Recipient","Napaka prejemnika e-pošte"
"Error Email Sender","Napaka pošiljatelja e-pošte"
"Error Email Template","Napaka predloge e-pošte"
"FATAL ERROR:","KRITIČNA NAPAKA:"
"Frequency","Frekvenca"
"Installed Currencies","Nameščene valute"
"Invalid Import Service specified.","Določena neveljavna storitev uvoza."
"Invalid country code: %s","Neveljavna koda države: %s"
"Invalid rates received","Prejeta neveljavna stopnja"
"Invalid target currency.","Neveljavna ciljna valuta."
"List of countries","Seznam držav"
"List of regions in specified country","Seznam regij v določeni državi"
"Postal Code is Optional for the following countries","Poštna koda je opcijska za sledeče države"
"Region","Regija"
"Region API","API regije"
"Scheduled Import Settings","Načrtovane nastavitve uvažanja"
"Select Your Currency","Izberite vašo valuto"
"Service","Storitev"
"Start Time","Začetek"
"State is required for","Zvezvna država je zahtevana za"
"State/Province","Zvezvna država/provinca"
"States Options","Opcije zveznih držav"
"Strikeiron Email Update Warnings","Opozorila posodobitve e-pošte Strikeiron"
"Unable to initialize the import model.","Inicializacija modela uvažanja ni možna."
"Undefined rate from ""%s-%s"".","Nedoločena stopnja iz ""%s-%s""."
"WARNING:","OPOZORILO:"
"Webservicex","Webservicex"
"Your Currency","Vaša valuta"
"Your Currency:","Vaša valuta:"
"Your current currency is: %s","Vaša trenutna valuta je: %s"
