"Add","Dodaj"
"Add New Row","Dodaj novo vrstico"
"Add links and samples to downloadable product","Dodaj povezave in primere produktov za prenos"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanumerični znaki, pomišljaj in podčrtaj so priporočljivi za imena datotek. Neustrezni znaki so zamenjani z \'_\'."
"An error occurred while getting the requested content.","Med pridobivanjem zahtevane vsebine je prišlo do napake."
"An error occurred while getting the requested content. Please contact the store owner.","Med pridobivanjem zahtevane vsebine je prišlo do napake. Prosimo, kontaktirajte lastnika trgovine."
"An error occurred while saving the file(s).","Med shranjevanjem datotek(e) je prišlo do napake."
"Availability:","Razpoložljivost:"
"Back","Nazaj"
"Canceled","Preklicano"
"Cannot connect to remote host, error: %s.","Povezava na oddaljenega gostitelja ni uspela, napaka: %s."
"Catalog Product View (Downloadable)","Pogled kataloga produktov (prenosljivi)"
"Category API","API kategorije"
"Customer My Account Downloadable Items","Prenosljivi elementi mojega računa kupca"
"Date","Datum"
"Default Link Title","Naslov privzete povezave"
"Default Maximum Number of Downloads","Privzeto največje število prenosov"
"Default Sample Title","Naslov privzetega primera"
"Delete","Izbriši"
"Disable Guest Checkout if Cart Contains Downloadable Items","Onemogoči naročilo gosta, če košarica vsebuje prenosljive elemente"
"Downloadable Information","Prenosljive informacije"
"Downloadable Product","Prenosljiv produkt"
"Downloadable Product Options","Opcije prenosljivega produkta"
"Downloadable Product Section","Sekcija prenosljivega produkta"
"Edit","Urejanje"
"Edit item parameters","Urejanje parametrov elementa"
"Excl. Tax","Brez davka"
"File","Datoteka"
"From:","Od:"
"Gift Message","Sporočilo darila"
"Go to <a href=""%s"">My Downloadable Products</a>","Pojdite na <a href=""%s"">Moji prenosljivi produkti</a>"
"Guest checkout will only work with shareable.","Naročilo gosta bo delovalo samo z deljivimi."
"In stock","Na zalogi"
"Incl. Tax","Vključuje davek"
"Invalid download URL host.","Neveljaven gostitelj URL-ja za prenos."
"Invalid download URL scheme.","Neveljavna shema URL-ja za prenos."
"Invalid download link type.","Neveljaven tip povezave za prenos."
"Invoiced","Fakturirano"
"Links can be purchased separately","Povezave se lahko kupi ločeno"
"List","Seznam"
"Max. Downloads","Največ prenosov"
"Message:","Sporočilo:"
"Move","Premakni"
"Move to wishlist","Premakni na seznam želja"
"My Downloadable Products","Moji prenosljivi produkti"
"Open Links in New Window","Odpri povezave v novem oknu"
"Order #","Naročilo #"
"Order Item Status to Enable Downloads","Status naročenega izdelka za omogočenje prenosa"
"Order id cannot be null","Id naročila ne more biti prazno"
"Order item id cannot be null","Id naročenega elementa ne more biti prazno"
"Ordered","Naročeno"
"Out of stock","Ni na zalogi"
"Pending","Na čakanju"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Prijavite se za prenos vašega produkta ali kupite <a href=""%s"">%s</a>."
"Please log in to download your product.","Prijavite se za prenos vašega produkta."
"Please set resource file and link type.","Nastavite datoteko vira in tip povezave."
"Please specify product link(s).","Določite povezavo produkta(ov)."
"Price","Cena"
"Product downloadable links","Povezave prenosljivega produkta"
"Qty","Količina"
"Refunded","Povrnjeno"
"Remaining Downloads","Preostalih prenosov"
"Remove","Odstrani"
"Remove Item","Odstrani element"
"Remove links and samples from downloadable product","Odstrani povezave in primere s prenosljivega produkta"
"Requested link does not exist.","Zahtevana povezava ne obstaja."
"Retrieve links and samples list from downloadable product","Pridobi povezave in seznam primerov iz prenosljivega produkta"
"SKU","SKU"
"Sample","Primer"
"See price before order confirmation.","Glejte ceno pred potrdilom naročila."
"Shareable","Deljiv"
"Shipped","Dostavljeno"
"Sorry, there was an error getting requested content. Please contact the store owner.","Opravičujemo se, vendar pri pridobivanju zahtevane vsebine je prišlo do napake. Prosimo, kontaktirajte lastnika trgovine."
"Sort Order","Vrstni red"
"Start Download","Prični prenos"
"Status","Status"
"Subtotal","Vmesni seštevek"
"The file does not exist.","Datoteka ne obstaja."
"The link has expired.","Povezava je potekla."
"The link is not available.","Povezava ni na voljo."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Obstajajo datoteke, ki so bile izbrane, vendar še niso naložene. Najprej jih naložite ali odstranite"
"Title","Naslov"
"To:","Za:"
"U","U"
"Unlimited","Neomejeno"
"Update","Posodobitev"
"Use Content-Disposition","Uporabi razporeditev vsebine"
"Use Default Value","Uporabi privzeto vrednost"
"View Order","Pogled naročila"
"What's this?","Kaj je to?"
"You have not purchased any downloadable products yet.","Prenosljivih produktov še niste kupili."
"attachment","priloga"
"download","prenos"
"inline","medvrstično"
"sample","primer"
