"(Make sure you keep it in a safe place.)","(Zagotovite, da imate to na varnem mestu.)"
"(Optional. Leave blank for no prefix)","(Neobvezno. Pustite prazno za brez predpone)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Dodatna pot dodana osnovnemu URL za dostopanje do vaše administrativne plošče (npr. admin, backend, control itd.)."
"Admin Path","Pot administracije"
"After successfull installation please click the button below.","Po uspešni namestitvi, kliknite gumb spodaj."
"All packages were installed, click 'OK' to continue with installation.","Vsi paketi so bili nameščeni, kliknite 'OK', da nadaljujete z namestitvijo."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativno lahko poskusite način 'Ročen prenos in posodobitev'."
"Base URL","Osnovni URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Preden nadaljujete v vašo trgovino, si zapišite vaš ključ enkripcije (Magento ga uporablja za enkripcijo gesel, kreditnih kartic in več)."
"Check out our","Preverite našo"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Označite to potrditveno polje samo, če ni mogoče avtomatsko preveriti varnega URL-ja, če je na primer zahtevano overjanje HTTP."
"Check this box only if it is not possible to automatically validate the Base URL.","Označite to potrditveno polje samo, če ni možno avtomatično preveriti osnovnega URL-ja."
"Choose this if you would like to test frontend and backend functionality.","Izberite to, če bi želeli testirati funcionalnost ospredja in ozadja."
"Configuration","Nastavitev"
"Confirm Password","Potrdite geslo"
"Connection","Povezava"
"Continue","Nadaljujte"
"Continue After Manual Download","Nadaljujte po ročnem prenosu"
"Continue Full Download / SVN Installation","Nadaljujte polni prenos / namestitev SVN"
"Create Admin Account","Ustvarite administratorski račun"
"Currently this is the most stable state available for Magento packages.","Trenutno je to najstabilnejše stanje na voljo za pakete Magento."
"Database","Podatkovna baza"
"Database Connection","Povezava podatkovne baze"
"Database Name","Ime podatkovne baze"
"Database Name cannot be empty.","Ime podatkovne baze ne sme biti prazno."
"Database Type","Vrsta podatkovne baze"
"Database connection error.","Napaka povezave podatkovne baze."
"Database host","Gostitelj podatkovne baze"
"Database server does not support the InnoDB storage engine.","Strežnik podatkovne baze ne podpira motorja shranjevanja InnoDB."
"Database user name","Uporabniško ime podatkovne baze"
"Database user password","Geslo uporabnika podatkovne baze"
"Default Currency","Privzeta valuta"
"Download","Prenos"
"Download Magento Core Modules and Updates","Prenos modulov Magento jedra in posodobitve"
"Downloading and installing Magento, please wait...","Prenašanje in nameščanje Magenta, počakajte ..."
"Email","E-pošta"
"Email Address","Naslov e-pošte"
"Enable Charts","Omogoči grafe"
"Enable this option if you want the charts to be displayed on Dashboard.","Omogočite to možnost, če želite, da so grafikoni prikazani na kontrolni plošči."
"Enable this option only if you have SSL available.","Omogočite to možnost samo, če imate na voljo SSL."
"Encryption Key","Ključ enkripcije"
"File System","Datotečni sistem"
