"Enable Log","Omogoči dnevnik"
"Enable Log Cleaning","Omogoči čiščenje dnevnika"
"Error Email Recipient","Prejemnik e-pošte napake"
"Error Email Sender","Pošiljatelj e-pošte napake"
"Error Email Template","Predloga e-pošte napake"
"Frequency","Pogostost"
"Log","Dnevnik"
"Log Cleaning","Čiščenje dnevnika"
"Log cleanup Warnings","Opozorila čiščenja dnevnika"
"Save Log, Days","Shranjevanje dnevnika, dnevi"
"Start Time","Začetni čas"
"Visitors only","Samo za obiskovalce"
"If set to ""No"" this option disables recently viewed products and compare products functionality for not logged in customers.","Če je nastavljeno na ""Ne"", ta možnost onemogoči funkcionalnost zadnjih pogledanih produktov in primerjavo produktov za neprijavljene kupce."
