"%s Item(s)","%s element(ov)"
"%s-%s of %s","%s-%s id %s"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. Vse pravice pridržane."
"&copy; 2014 Magento Demo Store. All Rights Reserved.","&copy; 2014 Magento Demo Store. Vse pravice pridržane."
"&copy; 2015 Magento Demo Store. All Rights Reserved.","&copy; 2015 Magento Demo Store. Vse pravice pridržane."
"&copy; 2016 Magento Demo Store. All Rights Reserved.","&copy; 2016 Magento Demo Store. Vse pravice pridržane."
"&copy; 2017 Magento Demo Store. All Rights Reserved.","&copy; 2017 Magento Demo Store. Vse pravice pridržane."
"(Shift-)Click or drag to change value","(Shift-)klik ali povlecite, da spremenite vrednost"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- kliknite na kateregakoli od časovnih delov, da ga povečate"
"- Hold mouse button on any of the above buttons for faster selection.","- držite gumb miške na kateremkoli gumbu za hitrejšo izbiro."
"- Use the %s buttons to select month","- uporabite gumbe %s, da izberete mesec"
"- Use the %s, %s buttons to select year","- uporabite gumbe %s, %s, da izberete leto"
"- or Shift-click to decrease it","- or shift-klik, da ga povečate"
"- or click and drag for faster selection.","- ali kliknite in povlecite za hitrejšo izbiro."
"-- Please Select --","-- Izberite --"
"1 column","1 stolpec"
"2 columns with left bar","2 stolpca z levo vrstico"
"2 columns with right bar","2 stolpca z desno vrstico"
"3 columns","3 stolpci"
"About the calendar","O koledarju"
"Account","Račun"
"All Empty Layout Pages","Vse prazne postavitvene strani"
"All One-Column Layout Pages","Vse strani postavitve z enim stolpcem"
"All Pages","Vse strani"
"All Pages (Print Version)","Vse strani (verzija za tiskanje)"
"All Three-Column Layout Pages","Vse strani postavitve s tremi stolpci"
"All Two-Column Layout Pages (Left Column)","Vse strani postavitve z dvema stolpcema (levi stolpec)"
"All Two-Column Layout Pages (Right Column)","Vse strani postavitve z dvema stolpcema (desni stolpec)"
"Allow","Omogoči"
"Breadcrumbs","Pot"
"Click <a href=""%s"">here</a> if nothing has happened","Kliknite <a href=""%s"">tu</a>, če se ni nič zgodilo"
"Close","Zapri"
"Close Window","Zapri okno"
"DHTML Date/Time Selector","Izbirnik DHTML datum/čas"
"Date selection:","Izbira datuma:"
"Default Description","Privzeti opis"
"Default welcome msg!","Privzeto sporočilo dobrodošlice!"
"Display %s first","Prikaz prvih %s"
"Distributed under GNU LGPL. See %s for details.","Distribuirano pod GNU LGPL. Glejte %s za podrobnosti."
"Drag to move","Povlecite, da premaknete"
"Empty","Prazno"
"For latest version visit: %s","Za zadnjo verzijo obiščite: %s"
"Free Shipping on orders over 50$","Prosta dostava na naročilih preko 50$"
"Go Today","Pojdite danes"
"Help Us to Keep Magento Healthy","Pomagajte nam obdržati Magento zdrav"
"Interface Language","Jezik vmesnika"
"Items %s to %s of %s total","Elementi %s do %s od %s skupno"
"JavaScript seems to be disabled in your browser.","JavaScript izgleda onemogočen v vašem brskalniku."
"Left Column","Levi stolpec"
"Left Column First (shows above main column on smaller screens)","Najprej levi stolpec (prikaz zgornjega glavnega stolpca na manjših zaslonih)"
"Main Content Area","Glavno področje vsebine"
"Menu","Meni"
"Navigation Bar","Navigacijska vrstica"
"Next","Naslednje"
"Next month (hold for menu)","Naslednji mesec (držite za meni)"
"Next year (hold for menu)","Naslednje leto (držite za meni)"
"Page Bottom","Dno strani"
"Page Footer","Noga strani"
"Page Header","Glava strani"
"Page Top","Vrh strani"
"Page:","Stran:"
"Prev. month (hold for menu)","Prejšnji mesec (držite za meni)"
"Prev. year (hold for menu)","Prejšnje leto (držite za meni)"
"Previous","Prejšnje"
"Redirecting...","Preusmerjanje ..."
"Report All Bugs","Poročajte vse hrošče"
"Results per page","Rezultati na stran"
"Right Column","Desni stolpec"
"Search","Iskanje"
"Select Store","Izberite trgovino"
"Select Store:","Izberite trgovino:"
"Select date","Izberite datum"
"Show","Prikaži"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","To je demo trgovina. Katerakoli naročila oddana preko te trgovine ne bodo obravnavana ali izpolnjena."
"Time selection:","Izbira časa:"
"Time:","Čas:"
"View All","Poglejte vse"
"Welcome, %s!","Dobrodošli, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Omogočen morate imeti JavaScript v vašem brskalniku, da uporabite funkcionalnost te spletne strani."
"Your Language","Vaš jezik"
"Your Language:","Vaš jezik:"
"per page","na stran"
