"An error occurred while clearing the external full page cache.","Med čiščenjem zunanjega predpomnilnika celotne strani je prišlo do napake."
"Cookie Lifetime (seconds)","Življenjska doba piškotka (sekunde)"
"Enable External Cache","Omogoči zunanji predpomnilnik"
"External Cache Control","Nadzor zunanjega predpomnilnika"
"External Full Page Cache Settings","Nastavitve zunanjega predpomnilnika celotne strani"
"External Page Cache","Predpomnilnik zunanje strani"
"External full page cache.","Zunanji predpomnilnik celotne strani."
"Failed to load external cache control","Nalaganje nadzora zunanjega predpomnilnika ni uspelo"
"Flush External Page Cache","Izprazni zunanji predpomnilnik strani"
"If empty, default value will be used.","Če je prazno, bo uporabljena privzeta vrednost."
"The external full page cache has been cleaned.","Zunanji predpomnilnik celotne strani je bil počiščen."
"Zend Full Page Cache","Predpomnilnik Zend celotne strani"
