"Abandoned Carts","Opuščene košarice"
"Abandoned carts","Opuščene košarice"
"Action","Dejanje"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjavo"
"Add to Wishlist","Dodaj na seznam želja"
"Any","Katerikoli"
"Applied Coupon","Uporabljeni kupon"
"Applies to Any of the Specified Order Statuses","Velja za kateregakoli od določenih statusov naročila"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Ali ste prepričani, da želite osvežiti statistiko celotnega obdobja? Med to operacijo lahko pride do vpliva na zmogljivost."
"Are you sure?","Ali ste prepričani?"
"Avg. Approved Rating","Povprečna odobrena ocena"
"Avg. Rating","Povprečna ocena"
"Bestsellers","Najboljša prodaja"
"Bought from wishlists","Kupljeno iz seznama želja"
"CSV","CSV"
"Carts","Košarice"
"Catalog Category (Without Subcategories)","Katalog kategorije (brez podkategorij)"
"Compared Products Grid Template","Predloga mreže primerjanih produktov"
"Compared Products List Template","Predloga seznama primerjanih produktov"
"Coupons","Kuponi"
"Coupons Usage Report","Poročilo uporabe kuponov"
"Created At","Ustvarjeno ob"
"Current Month Starts","Trenutni mesec se začne"
"Customer","Kupec"
"Customer Name","Ime kupca"
"Customer Tags","Oznake kupca"
"Customers","Kupci"
"Customers Report","Poročilo kupcev"
"Customers Reviews","Ocene kupcev"
"Customers Tags","Oznake kupcev"
"Customers by Number of Orders","Kupci po številu naročil"
"Customers by Orders Total","Kupci po skupaj naročilih"
"Customers by number of orders","Kupci po številu naročil"
"Customers by orders total","Kupci po skupaj naročilih"
"Customers that have wishlist: %s%","Kupci, ki imajo seznam želja: %s%"
"Dashboard","Nadzorna plošča"
"Day","Dan"
"Default Recently Compared Products Count","Privzeto število nedavno primerjanih produktov"
"Default Recently Viewed Products Count","Privzeto število nedavno pogledanih produktov"
"Description","Opis"
"Detail","Podrobnosti"
"Downloads","Prenosi"
"Email","E-pošta"
"Empty Rows","Prazne vrstice"
"Enable Reports","Omogoči poročila"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","Ime"
"From","Od"
"General","Splošno"
"Guest","Gost"
"Hits","Zadetki"
"ID","ID"
"IP Address","Naslov IP"
"Index model name must be defined","Ime modela indeksa mora biti definirano"
"Invalid date specified.","Določen neveljaven datum."
"Invoiced","Fakturirano"
"Items in Cart","Elementi v košarici"
"Last Name","Priimek"
"Last Review","Zadnji pregled"
"Link","Povezava"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Seznam produktov nazadnje primerjanih in odstranjenih iz primerjalnega seznama po obiskovalcih"
"List of Products Recently Viewed by Visitor","Izpis produktov nedavno pogledanih produktov po obiskovalcih"
"Low Stock","Majhna zaloga"
"Low stock","Majhna zaloga"
"Match Period To","Ujem obdobja za"
"Month","Mesec"
"Most Viewed","Najbolj ogledani"
"Name","Ime"
"New Accounts","Novi računi"
"No","Ne"
"Number Added","Dodana številka"
"Number Fulfilled","Številka izpolnjena"
"Number Of Reviews","Število pregledov"
"Number Purchased","Število nakupov"
"Number Viewed","Število pogledov"
"Number of Items","Število elementov"
"Number of New Accounts","Število novih računov"
"Number of Products to display","Število produktov za prikaz"
"Number of Reviews","Število pregledov"
"Number of Times Deleted","Število kolikokrat je bilo izbrisano"
"Number of Total Tags","Število oznak skupaj"
"Number of Unique Tags","Število unikatnih oznak"
"Number of Views","Število pogledov"
"Number of items bought from a wishlist: %s","Število kupljenih elementov iz seznama želja: %s"
"Number of times wishlists have been shared (emailed): %s","Število kolikokrat je bil seznam želja deljen (po e-pošti): %s"
"Number of wishlist conversions: %s","Število pogovorov seznama želja: %s"
"Number of wishlist referrals: %s","Število referenčnih povezav seznama želja: %s"
"Number of wishlists: %s","Število seznamov želja: %s"
"Order Status","Status naročila"
