"%d Review(s)","%d Pregled(i)"
"%s Review(s)","%s Pregled(i)"
"(Posted on %s)","(Objavljeno %s)"
"1 star","1 zvezdica"
"2 star","2 zvezdici"
"2 stars","2 zvezdici"
"3 star","3 zvezdice"
"3 stars","3 zvezdice"
"4 star","4 zvezdice"
"4 stars","4 zvezdice"
"5 star","5 zvezdic"
"5 stars","5 zvezdic"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Dodajte novo mnenje"
"Add Your Review","Dodajte vaše mnenje"
"Administrator","Administrator"
"All Reviews","Vsa mnenja"
"All Reviews of Customer `%s`","Vsa mnenja kupcev `%s`"
"All Reviews of Product `%s`","Vsa mnenja produkta `%s`"
"Allow Guests to Write Reviews","Dovolite gostom, da napišejo mnenje"
"Approved","Odobreno"
"Are you sure you want to do this?","Ali ste prepričani, da želite to narediti?"
"Are you sure?","Ali ste prepričani?"
"Average Customer Rating","Povprečna ocena kupcev"
"Average Customer Rating:","Povprečna ocena kupcev:"
"Back","Nazaj"
"Back to Main Product Info","Nazaj k informacijam glavnega produkta"
"Back to My Reviews","Nazaj k mojih mnenjem"
"Back to Product Reviews","Nazaj k mnenjem produktov"
"Be the first to review this product","Bodite prvi in napišite mnenje za ta produkt"
"Catalog Product Review View","Pogled mnenj kataloga produktov"
"Catalog Product Reviews List","Seznam mnenj kataloga produktov"
"Created On","Ustvarjeno ob"
"Customer","Kupec"
"Customer My Account Product Reviews","Mnenja o produktu mojega računa kupca"
"Customer My Account Review Details","Podrobnosti mnenja mojega računa kupca"
"Customer Reviews","Mnenja kupcev"
"Customers Reviews","Mnenja kupcev"
"Delete","Izbrišite"
"Delete Review","Izbrišite mnenje"
"Detailed Rating","Podrobna ocena"
"Edit Review '%s'","Uredite mnenje '%s'"
"Guest","Gost"
"How do you rate this product?","Kako ocenjujete ta produkt?"
"ID","ID"
"Let us know your thoughts","Sporočite nam vaše mnenje"
"Manage Ratings","Upravljanje ocen"
"My Product Reviews","Moja mnenja produktov"
"My Recent Reviews","Moja mnenja produktov"
"Name","Ime"
"Name in Store","Ime v trgovini"
"New Review","Novo mnenje"
"Nickname","Uporabniško ime"
"Nickname can\'t be empty","Uporabniško ime ne more biti prazno"
"Not Approved","Ni odobreno"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Mnenja lahko napišejo samo registrirani uporabniki. <a href=""%s"">Prijavite se</a> ali pa se <a href=""%s"">registrirajte</a>"
"Pending","Na čakanju"
"Pending Reviews","Mnenja na čakanju"
"Pending Reviews of Customer `%s`","Mnenja kupcev `%s` na čakanju"
"Please select a product","Izberite produkt"
"Please select one of each of the ratings above","Izberite eno od vsakih ocen zgoraj"
"Posted By","Objavil(a)"
"Price","Cena"
"Product","Produkt"
"Product Name","Ime produkta"
"Product Rating","Ocena produkta"
"Product Rating:","Ocena produkta:"
"Product Review (submitted on %s):","Mnenje produkta (poslano ob %s):"
"Product Reviews","Mnenja produkta"
"Product SKU","SKU produkta"
"Products Reviews","Mnenja produkta"
"Qty","Količina"
"Rating:","Ocena:"
"Review","Mnenje"
"Review (submitted on %s):","Mnenje (poslano ob %s):"
"Review Details","Podrobnosti mnenja"
"Review Form Fields Before","Polja obrazca mnenja pred"
"Review by %s","Mnenje podal(a) %s"
"Review by <span>%s</span>","Mnenje podal(a) <span>%s</span>"
"Review can\'t be empty","Mnenje ne sme biti prazno"
"Review summary can\'t be empty","Povzetek mnenja ne sme biti prazno"
"Reviews","Mnenja"
"Reviews and Ratings","Mnenja in ocene"
"SKU","SKU"
"Save Review","Shrani mnenje"
"Status","Status"
"Submit Review","Pošlji mnenje"
"Summary Rating","Povzetek ocene"
"Summary of Review","Povzetek mnenja"
"Summary of Your Review","Povzetek vašega mnenja"
"Title","Naslov"
"Type","Tip"
"Unable to post the review.","Objava mnenja ni možna."
"Update Status","Posodobi status"
"View All Reviews","Poglejte vsa mnenja"
"View Details","Poglejte podrobnosti"
"Visible In","Vidno v"
"Websites","Spletne strani"
"What's your nickname?","Kaj je vaše uporabniško ime?"
"Write Your Own Review","Napišite vaše lastno mnenje"
"You have submitted no reviews.","Niste poslali nobenih mnenj."
"You're reviewing:","Podajate mnenje:"
"Your Rating:","Vaša ocena:"
"Your Review (submitted on %s):","Vaše mnenje (poslano ob %s):"
"Your review has been accepted for moderation.","Vaše mnenje je bilo sprejeto v moderacijo."
