"%s - Discounts and Coupons","%s - popusti in kuponi"
"%s - Special Products","%s - posebni produkti"
"%s RSS Feed","%s Vir RSS"
"%s has reached a quantity of %s.","%s je dosegel količino %s."
"%s\'s Wishlist","Seznam želja %s"
"Cannot retrieve the wishlist","Pridobitev seznama želja ni uspešno"
"Catalog","Katalog"
"Category Feeds","Viri kategorije"
"Click for price","Kliknite za ceno"
"Comment: %s<br/>","Komentirajte: %s<br/>"
"Coupons/Discounts","Kuponi/Popusti"
"Current Status: %s<br/>","Trenutni status: %s<br/>"
"Customer Name: %s","Ime kupca: %s"
"Customer Order Status Notification","Obvestilo o statusu naročila kupca"
"Details for %s #%s","Podrobnosti za %s #%s"
"Discount","Popust"
"Discount (%s)","Popust (%s)"
"Enable RSS","Omogoči RSS"
"Error in processing xml. %s","Napaka pri pocesiranju xml. %s"
"From:","Od:"
"Get Feed","Dobite vir"
"Gift Message","Sporočilo darila"
"Grand Total","Skupaj velikega"
"Low Stock Products","Produkti majhne zaloge"
"Message:","Sporočilo:"
"Miscellaneous Feeds","Različni viri"
"New Orders","Nova naročila"
"New Products","Novi produkti"
"New Products from %s","Novi produkti od %s"
"Notified Date: %s<br/>","Datum obvestila: %s<br/>"
"Order # %s Notification(s)","Naročilo # %s obvestilo(a)"
"Order #%s created at %s","Naročilo #%s ustvarjeno ob %s"
"Pending product review(s)","Pregled produkta na čakanju"
"Product: ""%s"" review By: %s","Produkt: ""%s"" pregledal: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkti označeni z/s %s"
"Purchased From: %s","Kupljeno od: %s"
"RSS","RSS"
"RSS Feeds","Viri RSS"
"RSS Feeds List","Seznam virov RSS"
"RSS Feeds Section","Sekcija virov RSS"
"Review: %s <br/>","Pregled: %s <br/>"
"Rss Config","Nastavitve Rss"
"Shipping &amp; Handling","Pošiljanje in obdelava"
"Special Products","Posebni produkti"
"Store: %s <br/>","Trgovina: %s <br/>"
"Subtotal","Vmesni seštevek"
"Summary of review: %s <br/>","Povzetek pregleda: %s <br/>"
"Tags Products","Oznake produktov"
"Tax","Davek"
"There are no Rss Feeds","Viri Rss niso na voljo"
"To:","Za:"
"Top Level Category","Kategorija vrhnjega nivoja"
"Total: %s<br/>","Skupaj: %s<br/>"
"Wishlist","Seznam želja"
"click <a href=""%s"">here</a> to view the review","kliknite <a href=""%s"">tu</a>, da pogledate pregled"
