"""%s"" coupon code is not valid.","Koda kupona ""%s"" ni veljavna."
"%s","%s"
"%s / %s rate:","Stopnja %s / %s:"
"%s for %s","%s za %s"
"%s order(s) cannot be canceled","Preklicati ni uspelo sledečih naročil: %s"
"%s order(s) have been canceled.","Preklicana naročila: %s."
"%s order(s) have been put on hold.","Naročila: %s so dana na čakanje."
"%s order(s) have been released from holding status.","Naročila: %s so bila sproščena iz čakanja."
"%s order(s) were not put on hold.","Nalogi: %s niso bili dani na čakanje."
"%s order(s) were not released from holding status.","Naročila: %s niso bila sproščena iz statusa čakanja."
"* - Enter custom price excluding tax","* - Vnesite ceno po meri brez davka"
"* - Enter custom price including tax","* - Vnesite ceno po meri z davkom"
"* Required Fields","* Zahtevana polja"
"-- Please Select --","-- Izberite --"
"-- Please Select Billing Agreement--","-- Izberite sporazum obračuna --"
"About This Order:","O tem naročilu:"
"About This Profile:","O tem profilu:"
"About Your Invoice","O vašem računu"
"About Your Order","O vašem naročilu"
"About Your Refund","O vašem vračilo"
"About Your Shipment","O vaši pošiljki"
"Accept Payment","Sprejem plačila"
"Accept or Deny Payment","Sprejem ali zavrnitev plačila"
"Account Information","Informacije o računu"
"Action","Dejanje"
"Actions","Dejanja"
"Activate","Aktiviranje"
"Active","Aktivno"
"Add","Dodaj"
"Add New Address","Dodaj nov naslov"
"Add Order Comments","Dodajanje komentarjev naročila"
"Add Package","Dodaj paket"
"Add Products","Dodajanje izdelkov"
"Add Selected Product(s) to Option","Izbrane izdelke dodaj k možnosti"
"Add Selected Product(s) to Order","Izbrane izdelke dodaj naročilu"
"Add Selected Product(s) to Package","Izbrane izdelke dodaj v paket"
"Add To Order","Dodaj naročilu"
"Add Tracking Number","Dodaj številko sledenja"
"Add comment to order","Naročilu dodaj komentar"
"Add new comment to credit memo","Dobropisu dodaj nov komentar"
"Add new comment to shipment","Dodaj nov komentar za pošiljko"
"Add new tracking number","Dodaj novo številko za sledenje"
"Add to Cart","Dodaj v košarico"
"Additional Product Info","Dodatne informacije produkta"
"Address","Naslov"
"Address model is not defined.","Model naslova ni definiran."
"Adjustment Fee","Taksa stroškov prilagoditve"
"Adjustment Refund","Prilagoditev nadomestila"
"Agreement Information","Informacije o sporazumu"
"Allow Reorder","Omogoči ponovno naročilo"
"Amount","Znesek"
"Amount: %s.","Znesek: %s."
"An error occurred while assigning order status. Status has not been assigned.","Pri dodeljevanju stanja naročila je prišlo do napake. Stanje ni bilo dodeljeno."
"An error occurred while creating shipping label.","Pri ustvarjanju oznake pošiljanja je prišlo do napake."
"An error occurred while saving order status. The status has not been added.","Med shranjevanjem statusa naročlila je prišlo do napake. Stanje ni bilo dodano."
"An error occurred while unassigning order status.","Pri preklicu dodelitve stanje naročila je prišlo do napake."
"An error occurred while updating the order address. The address has not been changed.","Pri posodabljanju naslova naročila je prišlo do napake. Naslov ni bil spremenjen."
"An item option with code %s already exists.","Možnost artikla s kodo %s že obstaja."
"Anchor Custom Title","Naslov sidra po meri"
"Append Comments","Dodajanje komentarjev"
"Apply","Uporabi"
"Apply Coupon Code","Uporabi kodo kupona"
"Approved the payment online.","Odobreno spletno plačilo."
"Are you sure you want to accept this payment?","Ali ste prepričani, da želite sprejeti to plačilo?"
"Are you sure you want to cancel this order?","Ali ste prepričani, da želite preklicati naročilo?"
"Are you sure you want to delete all items from shopping cart?","Ali ste prepričani, da želite iz košarice izbrisati vse artikle?"
"Are you sure you want to deny this payment?","Ali ste prepričani, da želite zavrniti plačilo?"
"Are you sure you want to do this?","Ali ste prepričani, da želite to storiti?"
"Are you sure you want to send Creditmemo email to customer?","Ali ste prepričani, da želite kupcu poslati e-pošto dobropisa?"
"Are you sure you want to send Invoice email to customer?","Ali ste prepričani, da želite kupcu poslati e-pošto za račun?"
"Are you sure you want to send Shipment email to customer?","Ali ste prepričani, da želite kupcu poslati e-pošto za pošiljko?"
"Are you sure you want to send order email to customer?","Ali ste prepričani, da želite kupci poslati e-pošto za naročilo?"
"Are you sure you want to void the payment?","Ali ste prepričani, da želite plačilo razveljaviti?"
"Are you sure?","Ali ste prepričani?"
"Are you sure? This order will be canceled and a new one will be created instead","Ali ste prepričani? To naročilo bo preklicano in namesto bo ustvarjeno novo"
"Assign Order Status to State","Dodelite stanje naročila državi"
"Assign Status to State","Status dodeli državi"
"Assignment Information","Podatki o dodelitvi"
"At least a payment ID must be set.","Nastavljen mora biti vsaj ID plačila."
"Authorization","Dovoljenje"
"Authorized amount of %s.","Odobreni znesek %s."
"Authorizing amount of %s is pending approval on gateway.","Znesek avtorizacije %s čaka na odobritev na prehodu."
"Back","Nazaj"
"Back to Billing Agreements","Nazaj na sporazume izstavljenih računov"
"Back to My Orders","Nazaj na moja naročila"
"Back to Recurring Profiles","Nazaj na ponavljajoče se profile"
"Backordered","Prednaročeno"
"Bestsellers","Uspešnice"
"Bill to Name","Ime na računu"
"Billing","Zaračunavanje"
"Billing Address","Naslov za izstavitev računa"
"Billing Agreement","Sporazum zaračunavanja"
"Billing Agreement # %s","Sporazum zaračunavanja # %s"
"Billing Agreement #%s","Sporazum zaračunavanja #%s"
"Billing Agreement View","Pogled sporazuma zaračunavanja"
"Billing Agreements","Sporazumi zaračunavanja"
"Billing Last Name","Priimek na računu"
"Billing ZIP Code","Poštna številka računa"
"Buy %s for price %s","Kupite %s za ceno %s"
"CSV","CSV"
"Cancel","Preklic"
"Cancel credit memo","Prekliči dobropis"
"Cancel invoice","Prekliči račun"
"Cancel order","Prekliči naročilo"
"Canceled","Preklicano"
"Canceled order offline.","Preklicano naročilo brez povezave."
"Canceled order online.","Preklicano naročilo online."
"Cannot add order history.","Zgodovine naročil ni mogoče dodati."
"Cannot create an empty shipment.","Prazne pošiljke ni mogoče ustvariti."
"Cannot determine the field name.","Ime polja ni mogoče določiti."
"Cannot do invoice for order.","Računa za naročilo ni mogoče izvesti."
"Cannot do shipment for order.","Pošiljke za naročilo ni mogoče izvesti."
"Cannot get order instance","Instance naročila ni mogoče dobiti"
"Cannot get the order instance.","Instance naročila ni mogoče dobiti."
"Cannot register an existing credit memo.","Obstoječega dobropisa ni mogoče registrirati."
"Cannot register existing invoice","Obstoječega računa ni mogoče registrirati"
"Cannot register existing shipment","Obstoječe dobavnice ni mogoče registrirati"
"Capture","Zajem"
"Capture Amount","Zajemanje zneska"
"Capture Offline","Zajemanje brez povezave"
"Capture Online","Zajemanje online"
"Capture invoice","Zajem računa"
"Captured amount of %s online.","Zajeti znesek %s na spletu."
