"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d pravila cene košarice na osnovi atribua ""%s"" so bila onemogočena."
"%s Coupon(s) have been generated","%s kupon(i) so bili generirani"
"Actions","Dejanja"
"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"Alphabetical","Po abecedi"
"Alphanumeric","Alfanumerično"
"An error occurred while generating coupons. Please review the log and try again.","Med generiranjem kuponov je prišlo do napake. Preglejte dnevnik in poskusite ponovno."
"Apply","Uporabi"
"Apply To","Uporabi za"
"Apply the rule only if the following conditions are met (leave blank for all products)","Uporabite pravilo samo, če so zadoščeni sledeči pogoji (pustite prazno za vse produkte)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Uporabite pravilo samo za elemente košarice, ki se ujemajo s sledečimi pogoji (pustite prazno za vse elemente)"
"Apply the rule to cart items matching the following conditions","Uporabite pravilo za elemente košarice, ki se ujemajo s sledečimi pogoji"
"Apply to Shipping Amount","Uporabite za znesek dostave"
"Are you sure you want to delete the selected coupon(s)?","Ali ste prepričani, da želite izbrisati sledeče kopon(e)?"
"Auto","Avtomatsko"
"Auto Generated Specific Coupon Codes","Avtomatsko generirane kode določenega kupona"
"Buy X get Y free (discount amount is Y)","Kupite X, dobite Y brezplačno (znesek popusta je Y)"
"By Fixed value","Po fiksni vrednosti"
"By Percentage","Po procentu"
"Can\'t acquire coupon.","Pridobitev kupona neuspešna."
"Cart Attribute","Atribut košarice"
"Catalog","Katalog"
"Code Format","Format kode"
"Code Length","Dolžina kode"
"Code Prefix","Predpona kode"
"Code Suffix","Pripona kode"
"Conditions","Pogoji"
"Conditions combination","Kombinacija pogojev"
"Coupon","Kupon"
"Coupon Code","Koda kupona"
"Coupon Qty","Količina kupona"
"Coupon with the same code","Kupon z enako kodo"
"Coupons Information","Informacije kupona"
"Created On","Ustvarjeno ob"
"Customer Groups","Skupine kupcev"
"Dash Every X Characters","Dodaj pomišljaje vsakih X znakov"
"Date Expire","Datum poteka"
"Date Start","Datum začetka"
"Default Label","Privzeta oznaka"
"Default Rule Label for All Store Views","Privzeta oznaka pravila za vse poglede trgovine"
"Description","Opis"
"Discount Amount","Znesek popusta"
"Discount Qty Step (Buy X)","Korak količine popusta (kupite X)"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Excluding prefix, suffix and separators.","Izključuje predpono, pripono in ločila."
"FOUND","NAJDENO"
"Fixed amount discount","Fiksni znesek popusta"
"Fixed amount discount for whole cart","Fiksni znesek popusta za celotno košarico"
"For matching items only","Samo za ujete elemente"
"For shipment with matching items","Za dostavo z ujetimi elementi"
"Free Shipping","Brezplačna dostava"
"From Date","Od datuma"
"General Information","Splošne informacije"
"Generate","Generiraj"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Če %s %s %s za podizbiro elementov v košarici se ujema s %s od teh pogojev:"
"If an item is %s in the cart with %s of these conditions true:","Če je element %s v košarici s %s od teh pogojev, ki drži:"
"If empty no separation.","Če je prazno, ni ločevanja."
"If you select and save the rule you will be able to generate multiple coupon codes.","Če izberete in shranite pravilo, boste lahko generirali več kod kuponov."
"Inactive","Neaktivno"
"Item totals are not set for rule.","Vsote elementov niso nastavljene za pravilo."
"Labels","Oznake"
"Manage Coupon Codes","Upravljanje kode kupona"
"Maximum Qty Discount is Applied To","Največji popust količine je uporabljen za"
"NOT FOUND","NI NAJDENO"
"NOT LOGGED IN","NI PRIJAVE"
"New Rule","Novo pravilo"
"No","Ne"
"No Coupon","Ni kupona"
"Not valid data provided","Ni ponujenih veljavnih podatkov"
"Number of Uses","Število uporab"
"Numeric","Numerično"
"Payment Method","Način plačila"
"Percent of product price discount","Procent popusta cene produkta"
"Period","Obdobje"
"Price in cart","Cena v košarici"
"Priority","Prioriteta"
"Product attribute combination","Kombinacija atributov produkta"
"Products subselection","Podizbira produktov"
"Promotions","Promocije"
"Public In RSS Feed","Javno v viru RSS"
"Quantity in cart","Količina v košarici"
"Row total in cart","Skupaj vrstic v košarici"
"Rule Information","Informacije pravila"
"Rule Name","Ime pravila"
"Rule is not defined","Pravilo ni definirano"
"Sales Discount Amount","Znesek popusta prodaje"
"Sales Subtotal Amount","Znesek prodaje vmesnega seštevka"
"Sales Total Amount","Celotni znesek prodaje"
"Save and Continue Edit","Shrani in nadaljuj urejanje"
"Shipping Country","Država dostave"
"Shipping Method","Način dostave"
"Shipping Postcode","Poštna številka dostave"
"Shipping Region","Regija dostave"
"Shipping State/Province","Zvezna država/provinca dostave"
"Shopping Cart Price Rule","Pravilo cene košarice"
"Shopping Cart Price Rules","Pravila cene košarice"
"Special Price","Posebna cena"
"Specific Coupon","Določeni kupon"
"Status","Status"
"Stop Further Rules Processing","Ustavi nadaljnje procesiranje pravil"
"Store View Specific Labels","Shrani pogled določenih oznak"
"Subtotal","Vmesni seštevek"
"Subtotal Amount","Znesek vmesnega seštevka"
"The rule has been deleted.","Pravilo je bilo izbrisano."
"The rule has been saved.","Pravilo je bilo shranjeno."
"This rule no longer exists.","To pravilo več ne obstaja."
"Times Used","Kolikokrat je bilo uporabljeno"
"To Date","Do datuma"
"To Fixed Value","Do fiksne vrednosti"
"To Percentage","Do procenta"
"Total","Skupaj"
"Total Amount","Skupaj znesek"
"Total Items Quantity","Skupna količina elementov"
"Total Weight","Skupna teža"
"Unable to create requested Coupon Qty. Please check settings and try again.","Ustvarjanje zahtevane količine kupona ni možno. Preverite nastavitve in poskusite ponovno."
"Unable to find a rule to delete.","Pravila za izbris ni možno najti."
"Update prices using the following information","Posodobitev cen z uporabo sledečih informacij"
"Update product's %s %s: %s","Posodobitev produktov %s %s: %s"
"Update the Product","Posodobite produkt"
