" for more information or "," za več informacij ali "
"# of Items (and above)","# elementov (in več)"
"# of Items vs. Destination","# elementov proti destinaciji"
"Allow Shipping to Multiple Addresses","Dostava na več naslovov dovoljena"
"An error occurred while import table rates.","Med uvažanjem tabel stopenj je prišlo do napake."
"Calculate Handling Fee","Izračun takse stroškov obdelave"
"Carrier:","Prevoznik:"
"City","Mesto"
"Close Window","Zaprite okno"
"Condition","Pogoj"
"Country","Država"
"Custom Value","Vrednost po izbiri"
"Date","Datum"
"Delivered on:","Dostavljeno ob:"
"Delivered to:","Dostavljeno na:"
"Description","Opis"
"Displayed Error Message","Prikazano sporočilo napake"
"Divide to equal weight (one request)","Razdelite na enako težo (en zahtevek)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicirajte vrstico #%s (Država ""%s"", regija/zvezna država ""%s"", Pošta ""%s"" in vrednost ""%s"")."
"Enabled","Omogočeno"
"Error:","Napaka:"
"Export","Izvoz"
"File has not been imported. See the following list of errors: %s","Datoteka ni bila uvožena. Glejte sledeči seznam napak: %s"
"Fixed","Fiksno"
"Flat Rate","Pavšalno"
"Free Shipping","Prosta dostava"
"Google Sitemap Section","Sekcija Google kazala strani"
"Handling Fee","Taksa za stroške obdelave"
"Import","Uvoz"
"Include Virtual Products in Price Calculation","V kalkulaciji cene vključite virtualne produkte"
"Info:","Informacije:"
"Invalid %s ""%s"" in the Row #%s.","Neveljaven %s ""%s"" v vrstici #%s."
"Invalid Country ""%s"" in the Row #%s.","Neveljavna država ""%s"" v vrstici #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Neveljavna regija/zvezna država ""%s"" v vrstici #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Neveljavna cena dostave ""%s"" v vrstici #%s."
"Invalid Table Rate code for type %s: %s","Neveljavna tabela kode stopnje za tip %s: %s"
"Invalid Table Rate code type: %s","Neveljavna tabela tipa kode: %s"
"Invalid Table Rates File Format","Neveljaven format datoteke tabele stopenj"
"Invalid Table Rates format in the Row #%s","Neveljaven format tabele stopenj v vrstici #%s"
"Local Time","Lokalni čas"
"Location","Lokacija"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Največja dovoljena količina za dostavo na več naslovov"
"Method Name","Ime metode"
"Minimum Order Amount","Najmanjši znesek naročila"
"N/A","ni na voljo"
"None","Noben"
"Options","Možnosti"
"Order Subtotal (and above)","Vmesni seštevek naročila (in več)"
"Origin","Poreklo"
"Per Order","Na naročilo"
"Per Package","Na paket"
"Percent","Procent"
"Price","Cena"
"Price vs. Destination","Cena proti destinaciji"
"Region/State","Regija/zvezna država"
"Service Type:","Tip storitve:"
"Ship to Applicable Countries","Dostava na države v uporabi"
"Ship to Specific Countries","Dostava na določene države"
"Shipment #","Dostava #"
"Shipment Tracking Popup","Popup sledenja dostave"
"Shipped or billed on:","Dostavljeno ali račun izstavljen:"
"Shipping Methods","Načini dostave"
"Shipping Methods Section","Sekcija načinov dostave"
"Shipping Settings","Nastavitve dostave"
"Shipping Settings Section","Sekcija nastavitev dostave"
"Show Method if Not Applicable","Prikaži način, če ni v uporabi"
"Signed by:","Podpisal:"
"Sort Order","Vrstni red"
"Status:","Status:"
"Store Pickup","Osebni dvig v trgovini"
"Street Address","Naslov ulice"
"Street Address Line 2","2. vrstica naslova ulice"
"Table Rates","Stopnje tabele"
"The shipping module is not available for selected delivery country.","Modul dostave ni na voljo za izbrano državo dostave."
"The shipping module is not available.","Modul dostave ni na voljo."
"There is no tracking available for this shipment.","Za to dostavo ni na voljo sledenja."
"There is no tracking available.","Sledenje ni na voljo."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ta način dostave trenutno ni na voljo. Če bi želeli dostavo z uporabo tega načina dostave, nas, prosimo, kontaktirajte."
"This shipping method is not available, please specify ZIP-code","Ta način dostave ni na voljo, prosimo, določite poštno številko"
"Title","Naslov"
"Track:","Sledenje:"
"Tracking Information","Informacije sledenja"
"Tracking Number:","Številka sledenja:"
"Tracking information is currently not available. Please ","Informacije sledenja trenutno niso na voljo. Prosimo "
"Tracking information is currently unavailable.","Informacije sledenja trenutno niso na voljo."
"Type","Tip"
"Use origin weight (few requests)","Uporabite izvorno težo (nekaj zahtevkov)"
"Weight (and above)","Teža (in več)"
"Weight vs. Destination","Teža proti destinaciji"
"Weight:","Teža:"
"ZIP/Postal Code","Poštna številka"
"contact us","kontaktirajte nas"
"email us at ","pošljite nam e-pošto na "
