"%s","%s"
"-- Please Select --","-- Izberite --"
"Actions","Dejanja"
"Add Layout Update","Dodaj posodobitev postavitve"
"Add New Widget Instance","Dodaj novo instanco pripomočka"
"All","Vse"
"All Pages","Vse strani"
"All Product Types","Vse vrste izdelkov"
"An error occurred during saving a widget: %s","Med shranjevanjem pripomočka je prišlo do napake: %s"
"Anchor Categories","Kategorije sidra"
"Apply","Uporabi"
"Assign to Store Views","Dodeli na poglede trgovine"
"Big Image","Velika slika"
"Block Reference","Referenca bloka"
"CMS","CMS"
"Categories","Kategorije"
"Choose...","Izberite ..."
"Close","Zapri"
"Continue","Nadaljuj"
"Default Template","Privzeta predloga"
"Delete","Izbriši"
"Design Package/Theme","Paket/tema oblike"
"Error occurs during loading chooser.","Napaka se zgodi med nalaganjem izbirnika."
"Export to:","Izvoz v:"
"Frontend Properties","Lastnosti ospredja"
"Generic Pages","Splošne strani"
"Go to Next page","Pojdi na naslednjo stran"
"Go to Previous page","Pojdi na prejšnjo stran"
"Images","Slike"
"Insert Widget","Vstavi pripomoček"
"Insert Widget...","Vstavi pripomoček ..."
"Layout Updates","Posodobitve postavitve"
"Manage Widget Instances","Upravljanje instance pripomočka"
"New Instance","Nova instanca"
"New Widget Instance","Nova instanca pripomočka"
"Next page","Naslednja stran"
"Non-Anchor Categories","Kategorije ne-sidra"
"Not Selected","Ni izbrano"
"Open Chooser","Odpri izbirnik"
"Page","Stran"
"Please Select Block Reference First","Najprej izberite referenco bloka"
"Previous page","Prejšnja stran"
"Products","Izdelki"
"Remove Layout Update","Odstrani posodobitev postavitve"
"Save and Continue Edit","Shrani in nadaljuj urejanje"
"Select All","Izberi vse"
"Select Visible","Izberi vidno"
"Settings","Nastavitve"
"Sort Order","Vrstni red"
"Sort Order of widget instances in the same block reference","Vrstni red instanc pripomočka v enaki referenci bloka"
"Specific %s","Določen %s"
"Specified Page","Določena stran"
"Template","Predloga"
"The information in this tab has been changed.","Informacije v tem zavihku so bile spremenjene."
"The widget instance has been deleted.","Instanca pripomočka je bila izbrisana."
"The widget instance has been saved.","Instanca pripomočka je bila shranjena."
"This tab contains invalid data. Please solve the problem before saving.","Ta zavihek vsebuje neveljavne podatke. Rešite težavo pred shranjevanjem."
"Thumbnail","Sličica"
"Total %d records found","Skupaj najdenih %d vnosov"
"Type","Vrsta"
"Unselect All","Odznači vse"
"Unselect Visible","Odznači vidne"
"View","Pogled"
"Widget","Pripomoček"
"Widget ""%s""","Pripomoček ""%s"""
"Widget ID","ID pripomočka"
"Widget Insertion","Vstavljanje pripomočka"
"Widget Instance","Instanca pripomočka"
"Widget Instance Title","Naslov instance pripomočka"
"Widget Options","Možnosti pripomočka"
"Widget Type","Vrsta pripomočka"
"Widget Type is not specified","Vrsta pripomočka ni določena"
"Widget instance is not full complete to create.","Instanca pripomočka ni v celoti končana za ustvarjanje."
"Widgets","Pripomočki"
"Wrong widget instance specified.","Določena je instanca napačnega pripomočka."
"items selected","izbranih elementov"
"of %s pages","od %s strani"
"per page","na stran"
"Display On <span class=\"required\">*<\/span>","Prikaži na <span class=\"required\">*<\/span>"
