"Actions","Akcije"
"An error occurred while marking notification as read.","Prišlo je do napake med označevanjem obvestila kot prebranega."
"An error occurred while marking the messages as read.","Prišlo je do napake med označevanjem sporočila kot prebranega."
"An error occurred while removing messages.","Prišlo je do napake med odstranjevanjem sporočil."
"An error occurred while removing the message.","Prišlo je do napake med odstranjevanjem sporočila."
"Are you sure?","Ste prepričani?"
"Date Added","Datum dodajanja"
"Last Update","Zadnja posodobitev"
"Mark as Read","Označite kot prebrano"
"Mark as read","Označite kot prebrano"
"Message","Sporočilo"
"Messages Inbox","Prejeta sporočila"
"Notifications","Obvestila"
"Please select messages.","Prosimo, izberite sporočila."
"Read Details","Preberite podrobnosti"
"Remove","Odstranite"
"Severity","Resnost"
"Show List","Prikažite seznam"
"Show Toolbar","Prikažite orodno vrstico"
"The message has been marked as read.","Sporočilo je bilo označeno kot prebrano."
"The message has been removed.","Sporočilo je bilo odstranjeno."
"Total of %d record(s) have been marked as read.","Skupaj od %d vnos(ov) je bilo označenih kot prebranih."
"Total of %d record(s) have been removed.","Skupaj od %d vnos(ov) je bilo odstranjenih."
"Unable to proceed. Please, try again.","Ne moremo nadaljevati. Prosimo, poskusite ponovno."
"Update Frequency","Frekvenca posodobitev"
"Use HTTPS to Get Feed","Uporabite HTTPS, da dobite feed"
"Wrong message type","Napačen tip sporočila"
"critical","kritično"
"major","glavno"
"minor","manjše"
"notice","obvestilo"
