"Access denied.","Dostop zavrnjen."
"Can not find webservice adapter.","Pretvornika spletne storitve ni moč najti."
"Client Session Timeout (sec.)","Seja klienta je potekla (sek.)"
"Default Response Charset","Privzeti nabor znakov odziva"
"Email","E-pošta"
"Enable WSDL Cache","Omogočite predpomnilnik WSDL"
"General Settings","Splošne nastavitve"
"Invalid webservice adapter specified.","Določen neveljaven pretvornik spletne storitve."
"Invalid webservice handler specified.","Določen neveljaven hendler spletne storitve."
"Magento Core API","Magento API jedra"
"Magento Core API Section","Sekcija Magento API jedra"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Vloge"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Uporabniki"
"Unable to login.","Prijava ni uspela."
"User Name","Uporabniško ime"
"WS-I Compliance","Skladnost WS-I"
"Web Services","Spletne storitve"
"Your account has been deactivated.","Vaš račun je bil deaktiviran."
