"--Please Select--","--Prosimo, izberite--"
"API Login ID","API prijavni ID"
"Accepted Currency","Sprejeta valuta"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Znesek %s odobren s strani plačilnega prehoda. ID transakcije: ""%s""."
"Authorize.net Direct Post","Direktno post pošiljanje Authorize.net"
"Card Verification Number","Potrditvena številka kartice"
"Card Verification Number Visual Reference","Vizualna referenca potrditvene številke kartice"
"Close","Zaprite"
"Credit Card Information","Informacije kreditne kartice"
"Credit Card Number","Številka kreditne kartice"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Types","Tipi kreditnih kartic"
"Credit Card Verification","Potrditev kreditne kartice"
"Debug","Razhroščevanje"
"Email Customer","Pošljite e-pošto kupcu"
"Enabled","Omogočeno"
"Expiration Date","Datum poteka"
"Gateway URL","URL prehoda"
"Maximum Order Total","Skupaj največje naročil"
"Merchant MD5","MD5 trgovca"
"Merchant's Email","E-pošta trgovca"
"Minimum Order Total","Skupaj najmanjše naročil"
"New Order Status","Status novega naročila"
"Order saving error: %s","Napaka shranjevanja naročila: %s"
"Payment Action","Akcija plačila"
"Payment authorization error.","Napaka avtorizacije plačila."
"Payment authorization error. Transacion id is empty.","Napaka avtorizacije plačila. Id transakcije je prazen."
"Payment error. Order was not found.","Napaka plačila. Naročilo ni bilo najdeno."
"Payment error. Paid amount doesn\'t match the order amount.","Napaka plačila. Plačani znesek se ne ujema z naročenim zneskom."
"Payment from Applicable Countries","Plačilo iz uporabljanih držav"
"Payment from Specific Countries","Plačilo iz določenih držav"
"Please, choose payment method","Prosimo, izberite plačilno metodo"
"Response hash validation failed. Transaction declined.","Preverjanje odziva razpršitve ni uspelo. Transakcija zavrnjena."
"Sort Order","Vrstni red"
"Test Mode","Način testiranja"
"The order has been created.","Naročilo je bilo ustvarjeno."
"There was an error processing your order. Please contact us or try again later.","Pri procesiranju vašega naročila je prišlo do napake. Prosimo, kontaktirajte nas ali poskusite ponovno kasneje."
"Title","Naslov"
"Transaction Key","Ključ transakcije"
"What is this?","Kaj je to?"
"You will be required to enter your payment details before you place an order.","Morali boste vnesti podrobnosti vašega plačila preden oddate naročilo."
