"Action","Akcija"
"An error occurred while creating the backup.","Med ustvarjanjem varnostne kopije je prišlo do napake."
"An error occurred while writing to the backup file ""%s"".","Med pisanjem v datoteko varnostne kopije ""%s"" je prišlo do napake."
"Are you sure you want to delete the selected backup(s)?","Ali ste prepričani, da želite izbrisati izbrane varnostne kopije?"
"Backup Type","Vrsta varnostne kopije"
"Backup file ""%s"" cannot be read from or written to.","Datoteke varnostne kopije ""%s"" ni moč prebrati ali zapisati."
"Backup file ""%s"" does not exist.","Datoteka varnostne kopije ""%s"" ne obstaja."
"Backup file does not exist.","Datoteka varnostne kopije ne obstaja."
"Backup file handler was unspecified.","Krmilnik datoteke varnostne kopije ni bil določen."
"Backup file not found","Datoteka varnostne kopije ni bila najdena"
"Backup file path was not specified.","Pot do datoteke varnostne kopije ni bila določena."
"Backups","Varnostne kopije"
"Cannot read backup file.","Datoteke varnostne kopije ni bilo mogoče prebrati."
"Create Backup","Ustvarite varnostno kopijo"
"Database","Podatkovna baza"
"Database Backup","Varnostna kopija podatkovne baze"
"Database and Media","Podaktovna baza in mediji"
"Database and Media Backup","Varnostna kopija podatkovne baze in medijev"
"Database was successfuly backed up.","Podatkovna baza je bila uspešno varnostno kopirana."
"Download","Prenos"
"Enable Scheduled Backup","Omogočite načrtovano varnostno kopijo"
"Failed to connect to FTP","Povezava s FTP ni uspela"
"Failed to delete one or several backups.","Brisanje ene ali več varnostnih kopij ni uspelo."
"Failed to rollback","Povrnitev ni uspela"
"Failed to validate FTP","Preverjanje FTP ni uspelo"
"Frequency","Frekvenca"
"Invalid Password.","Neveljavno geslo."
"Maintenance Mode","Način vzdrževanja"
"Name","Ime"
"Not enough free space to create backup.","Ni dovolj prostega prostora za izdelavo varnostne kopije."
"Not enough permissions to create backup.","Ni dovolj pravic za ustvarjanje varnostne kopije."
"Not enough permissions to perform rollback","Ni dovolj pravic za izvedbo povrnitve"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Bodisi odznačite potrditveno polje ""Trdovino dajte v način vzdrževanja"" ali posodobite vaše pravice za nadaljevanje z varnostno kopijo."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Bodisi odznačite potrditveno polje ""Trgovino dajte v način vzdrževanja"" ali posodobite vaše pravice za nadaljevanje s povrnitvijo."""
"Put store on the maintenance mode while backup's creation","Trgovino dajte v način vzdrževanja med ustvarjanjem varnostne kopije"
"Rollback","Povrnitev"
"Scheduled Backup Settings","Nastavitve načrtovane varnostne kopije"
"Size, Bytes","Velikost, bajti"
"Start Time","Začetek"
"System","Sistem"
"System (excluding Media)","Sistem (brez medijev)"
"System Backup","Varnostna kopija sistema"
"System couldn't put store on the maintenance mode","Sistem ni uspel dati trgovine v način vzdrževanja"
"The database and media backup has been created.","Varnostna kopija podatkovne baze in medijev je bila ustvarjena."
"The database backup has been created.","Varnostna kopija podatkovne baze je bila ustvarjena."
"The file was compressed with Zlib, but this extension is not installed on server.","Datoteka je bila kompresirana z Zlib, vendar ta razširitev ni nameščena na strežniku."
"The selected backup(s) has been deleted.","Izbrane varnostne kopije so bile izbrisane."
"The system (excluding Media) backup has been created.","Varnosnta kopija sistema (brez medijev) je bila ustvarjena."
"The system backup has been created.","Varnostna kopija sistema je bila ustvarjena."
"Time","Čas"
"Type","Vrsta"
"Unable to create backup. Please, try again later.","Ustvarjanje varnostne kopije ni uspelo. Prosimo, poskusite kasneje."
"Unable to save the cron expression.","izraza periodičnega opravila ni bilo mogoče shraniti."
"Wrong order of creation for new backup.","Napačen vrstni red ustvarjanja nove varnostne kopije."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Nimate ustreznih pravic, da bi omogočili način vzdrževanja med to operacijo."
