"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d pravila kataloga cen osnovana na atributut ""%s"" so bila onemogočena."
"Actions","Akcije"
"Active","Aktivno"
"Add New Rule","Dodajte novo pravilo"
"An error occurred while deleting the rule. Please review the log and try again.","Prišlo je do napake med brisanjem pravila. Prosimo, preglejte dnevnik in poskusite ponovno."
"An error occurred while saving the rule data. Please review the log and try again.","Prišlo je do napake med shranjevanjem podatkov pravila. Prosimo, preglejte dnevnik in poskusite ponovno."
"Apply","Uporabite"
"Apply Rules","Uporabite pravila"
"Attribute Set","Nabor atributov"
"By Fixed Amount","S fiksnim zneskom"
"By Percentage of the Original Price","S procentom od originalne cene"
"Catalog","Katalog"
"Catalog Price Rule","Pravilo kataloga cen"
"Catalog Price Rules","Pravila kataloga cen"
"Category","Kategorija"
"Conditions","Pogoji"
"Conditions (leave blank for all products)","Pogoji (pustite prazno za vse produkte)"
"Conditions Combination","Kombinacija pogojev"
"Customer Groups","Skupine kupcev"
"Date Expire","Datum poteka"
"Date From","Datum od"
"Date Start","Začetni datum"
"Date To","Datum do"
"Description","Opis"
"Discount Amount","Znesek popusta"
"Edit Rule","Uredite pravilo"
"Edit Rule '%s'","Uredite pravilo '%s'"
"Enable Discount to Subproducts","Omogočite popust na podprodukte"
"Expiration Date","Datum poteka"
"From Date","Datum od"
"General Information","Splošne informacije"
"ID","ID"
"Inactive","Neaktivno"
"New Rule","Novo pravilo"
"No","Ne"
"Options","Opcije"
"Priority","Prioriteta"
"Product Attribute","Atribut produkta"
"Promotions","Promocije"
"Rule Information","Informacije pravila"
"Rule Name","Ime pravila"
"Save and Apply","Shranite in uporabite"
"Save and Continue Edit","Shranite in nadaljujte urejanje"
"Start Date","Začetni datum"
"Status","Status"
"Stop Further Rules Processing","Končajte nadaljnje procesiranje pravil"
"The rule has been deleted.","Pravilo je bilo izbrisano."
"The rule has been saved.","Pravilo je bilo shranjeno."
"The rules have been applied.","Pravila so bila uporabljena."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Obstajajo pravila, ki so bila spremenjena, vendar niso uporabljena. Samo uporabniki z ekskluzivnim dostopom, lahko uporabljajo pravila."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Obstajajo pravila, ki so bila spremenjena, vendar neuporabljena. Prosimo, kliknite na uporabite pravila, da vidite takojšnji učinek v katalogu."
"This rule no longer exists.","To pravilo ne obstaja več."
"To Date","Datum do"
"To Fixed Amount","Do fiksnega zneska"
"To Percentage of the Original Price","Do procenta originalne cene"
"Type","Tip"
"Unable to apply rules.","Nemogoče uporabiti pravila."
"Unable to find a rule to delete.","Nemogoče najti pravilo za izbris."
"Update Prices Using the Following Information","Posodobite cene z uproabo sledečih informacij"
"Update product's %s %s: %s","Posodobite produkte %s %s: %s"
"Website","Spletna stran"
"Websites","Spletne strani"
"Wrong rule specified.","Določeno napačno pravilo."
"Yes","Da"
