"%s and greater","%s in več"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d element(ov)</strong> je bilo najdenih z uporabo sledečih kriterijev iskanja"
"Advanced Search","Napredno iskanje"
"Advanced Search Form","Obrazec naprednega iskanja"
"Advanced Search Result","Rezultati naprednega iskanja"
"All","Vse"
"Applies for ""Like"" search type only.","Velja samo za ""Kot je"" vrste iskanja."
"Apply Layered Navigation if Search Results are Less Than","Uporabite nivojsko navigacijo, če so rezultati iskanja manj kot"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Sprememba nastavitev atributa povezana z indeksom iskanja. Prosimo, poženite proces <a href=""%s"">ponovne gradnje indeksa iskanja</a>."
"Autogenerated Site Map","Avtomatsko generirano kazalo strani"
"Catalog Advanced Search","Napredno iskanje po katalogu"
"Catalog Search","Iskanje po katalogu"
"Catalog Search Index","Indeks iskanja po katalogu"
"Don't see what you're looking for?","Ne najdete, kar iščete?"
"Enter ""0"" to enable layered navigation for any number of results.","Vpišite ""0"", da omogočite nivojsko navigacijo za katerokoli število rezultatov."
"Go","Pojdite"
"Go to Home Page","Pojdite na domačo stran"
"Grid","Mreža"
"Home","Domov"
"List","Seznam"
"Maximum Query Length","Največja dolžina poizvedbe"
"Maximum Query Words Count","Največje število besed poizvedbe"
"Maximum Search query length is %s. Your query was cut.","Največja dolžina poizvedbe iskanja je %s. Vaša poizvedba je bila izrezana."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Največje število besed je %1$s. V vašem iskanju je bila iz poizvedbe izrezan naslednji del: %2$s."
"Minimal Query Length","Najmanjša dolžina poizvedbe"
"Minimum Search query length is %s","Najmanjša dolžina iskalne poizvedbe je %s"
"Modify your search","Spremenite vaše iskanje"
"No","Ne"
"No items were found using the following search criteria.","Nobenih elementov ni bilo najdenih z uporabo sledečih kriterijev iskanja."
"Please specify at least one search term.","Prosimo, določite vsaj en izraz iskanja."
"Popular Search Terms","Popularni izrazi iskanja"
"Quick Search Form","Obrazec hitrega iskanja"
"Rebuild Catalog product fulltext search index","Ponovno zgradite katalog produktov polno tekstovnega indeksa iskanja"
"Relevance","Ustreznost"
"Results","Rezultati"
"Search","Iskanje"
"Search Settings","Nastavitve iskanja"
"Search Terms","Izrazi iskanja"
"Search Type","Vrsta iskanja"
"Search entire store here...","Tu iščite po celotni trgovini ..."
"Search results for '%s'","Rezultati iskanja za '%s'"
"Search results for: '%s'","Rezultati iskanja za: '%s'"
"Search:","Iskanje:"
"Show Autocomplete Results Count","Prikažite število rezultatov samodejnega zaključevanja"
"Specified date is invalid.","Določeni datum ni veljaven."
"Subscribe to Feed","Naročite se na obvestila"
"There are no search terms available.","Nobenih izrazov iskanja ni na voljo."
"Yes","Da"
"Your search returns no results.","Vaše iskanje ni vrnilo rezultatov."
"up to %s","do %s"
