"%s was added to your shopping cart.","%s je bil dodan v vašo košarico."
"%s was updated in your shopping cart.","%s je bil posodobljen v vaši košarici."
"(Excl. Tax)","(brez davka)"
"(Incl. Tax)","(z davkom)"
"* Required Fields","* Zahtevana polja"
"Add New Address","Dodajte nov naslov"
"Add New Condition","Dodajte nov pogoj"
"Add coupon code for shopping cart","Dodate kodo kupona za košarico"
"Add gift messages to shopping cart","Dodajte sporočila darila k košarici"
"Add product to shopping cart","Dodajte produkt v košarico"
"Add product(s) to shopping cart","Dodajte produkte v košarico"
"Add to Cart","Dodajte v košarico"
"Add to Compare","Dodajte v primerjavo"
"Add to Wishlist","Dodajte na seznam želja"
"Additional Product Info","Dodatne informacije produkta"
"Address","Naslov"
"Address %s of %s","Naslov %s od %s"
"After Adding a Product Redirect to Shopping Cart","Po dodajanju produkta preusmerite na košarico"
"Allow Guest Checkout","Omogočite naročilo gosta"
"Already registered?","Že registrirani?"
"An error occurred in the process of payment","Prišlo je do napake v procesu plačila"
"An error occurred while deleting this condition.","Prišlo je do napake med brisanjem tega pogoja."
"An error occurred while saving this condition.","Prišlo je do napake med shranjevanjem tega pogoja."
"Apply","Omogočite"
"Apply Coupon","Uporabite kupon"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Ste prepričani, da želite zapustiti to stran? Iti boste morali skozi korake naročila ponovno."
"Are you sure you would like to remove this item from the shopping cart?","Ste prepričani, da želite odstraniti ta element iz košarice?"
"Back","Nazaj"
"Back to Billing Information","Nazaj na informacije izstavitve računa"
"Back to Select Addresses","Nazaj na izbiro naslovov"
"Back to Shipping Information","Nazaj na informacije dostave"
"Back to Shopping Cart","Nazaj na košarico"
"Based on your selection, you may be interested in the following items:","Na osnovi vaše izbire, boste morda zainteresirani za sledeče elemente:"
"Billing Address","Naslov za izstavitev računa"
"Billing Information","Informacije izstavitve računa"
"Billing Information - %s","Informacije izstavitve računa - %s"
"Can not remove the item.","Ne morem odstraniti elementa."
"Can not save item.","Ne morem shraniti elementa."
"Cancel","Prekličite"
"Cancel Coupon","Prekličite kupon"
"Cannot add item to the shopping cart.","Dodajanje elementa v košarico ni možno."
"Cannot add the item to shopping cart","Dodajanje elementa v košarico ni možno"
"Cannot add the item to shopping cart.","Dodajanje elementa v košarico ni možno."
"Cannot apply the coupon code.","Uporaba kode kupona ni možna."
"Cannot configure product.","Nastavitev produktov ni možna."
"Cannot open the overview page","Odpiranje strani pregleda ni možna"
"Cannot process the item.","Procesiranje elementa ni možno."
"Cannot remove the item.","Odstranjevanje elementa ni možno."
"Cannot update shopping cart.","Posodobitev elementa ni možna."
"Cannot update the item.","Posodobitev elementa ni možna."
"Card Verification Number Visual Reference","Vizualna referenca potrditve številke kartice"
"Cart","Kartica"
"Cart Product API","API kartice produkta"
"Cart Subtotal:","Vmesni seštevek kartice:"
"Change","Spremenite"
"Change Billing Address","Spremenite naslov za izstavitev računa"
"Checkbox Text","Tekst potrditvenega polja"
"Checkout","Naročilo"
"Checkout Conditions","Pogoji potrditve"
"Checkout Forms Extra","Dodatki obrazca naročila"
"Checkout Method","Način naročila"
"Checkout Options","Opcije naročila"
"Checkout Progress Wrapper","Ovoj napredka naročila"
"Checkout Section","Sekcija naročila"
"Checkout Terms and Conditions","Pravila in pogoji naročila"
"Checkout as Guest","Naročilo kot gost"
"Checkout as a Guest or Register","Naročilo kot gost ali registracija"
"Checkout with Multiple Addresses","Naročilo z večimi naslovi"
"City","Mesto"
"Clear Shopping Cart","Počistite košarico"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Kliknite <a href=""%s"" onclick=""this.target=\'_blank\'"">tu za tiskanje</a> kopije potrditve kopije vašega naročila."
"Click <a href=""%s"">here</a> to continue shopping.","Kliknite <a href=""%s"">tu</a> za nadaljevanje nakupovanja."
"Close","Zaprite"
"Company","Podjetje"
"Condition Name","Ime pogoja"
"Configurable Product Image","Slika nastavljivega produkta"
"Configure Cart Item","Nastavite element košarice"
"Confirm Password","Potrdite geslo"
"Content","Vsebina"
"Content Height","Višina vsebine"
"Content Height (css)","Višina vsebine (css)"
"Continue","Nadaljujte"
"Continue Shopping","Nadaljujte nakupovanje"
"Continue to Billing Information","Nadaljujte na informacije izstavitve računa"
"Continue to Review Your Order","Nadaljujte na pregled vašega naročila"
"Continue to Shipping Information","Nadaljujte na informacije dostave"
"Country","Država"
"Coupon code ""%s"" is not valid.","Koda kupona ""%s"" ni veljavna."
