"Collected Files Count","Število zbranih datotek"
"Compilation","Kompilacija"
"Compilation State","Stanje kompilacije"
"Compilation error","Napaka kompilacije"
"Compiled","Sestavljeno"
"Compiled Scopes Count","Število sestavljenih obsegov"
"Compiler Status","Status statusa prevajalnika"
"Compiler include path is disabled.","Vključitvena pot prevajalnika je onemogočena."
"Compiler include path is enabled.","Vključitvena pot prevajalnika je omogočena."
"Directory ""%s"" must be writeable","Direktorij ""%s"" mora biti zapisljiv"
"Disable","Onemogočite"
"Disabled","Onemogočeno"
"Enable","Omogočite"
"Enabled","Omogočeno"
"File ""%s"" must be writeable","Datoteka ""%s"" mora biti zapisljiva"
"Not Compiled","Ni prevedeno"
"Run Compilation Process","Poženite proces kompilacije"
"Scopes Compilation Settings","Nastavitve obsegov kompilacije"
"System","Sistem"
"The compilation has completed.","Kompilacija se je končala."
"Tools","Orodja"
