"-- Please Select --","-- Prosimo, izberite --"
"Add to Cart","Dodajte v košarico"
"Choose an Option...","Izberite opcijo..."
"Configurable Swatches","Nastavljivi swatch-i"
"Enabled","Omogočeno"
"General Settings","Splošne nastavitve"
"Height","Višina"
"In Stock","Na zalogi"
"Innermost dimensions, not including border, in pixels","Notranje dimenzije, ki ne vključujejo meje, v pikslih"
"Out of Stock","Ni na zalogi"
"Previous","Prejšnja"
"Product Attribute to Use for Swatches in Product Listing","Atribut produkta za uporabo za swatch-e v seznamu produktov"
"Product Attributes to Show as Swatches in Product Detail","Atributi produkta za prikaz kot swatch-i v podrobnostih produkta"
"Remove This Item","Odstranite ta element"
"Swatch Dimensions in Layered Navigation","Dimenzije swatch-a v nivojski navigaciji"
"Swatch Dimensions in Product Listing","Dimenzije swatch-a v seznamu produktov"
"Swatch Dimensions on Product Detail Page","Dimenzije swatch-a na strani podrobnosti produkta"
"Width","Širina"
