"Cron (Scheduled Tasks) - all the times are in minutes","Periodično opravilo (Načrtovana opravila) - vsi časi so v minutah"
"Daily","Dnevno"
"Failure History Lifetime","Življenska doba zgodovine neuspeha"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Za pravilne URL-je generirane med poganjanjem kroničnega opravila, prosimo zagotovite, da so Splet > Zaščiteni in nezaščiteni osnovni URL-ji eksplicitno nastavljeni."
"Generate Schedules Every","Generirajte načrtovana opravila vsakih"
"History Cleanup Every","Čiščenje zgodovine vsakih"
"Invalid callback: %s::%s does not exist","Neveljaven povratni klic: %s::%s ne obstaja"
"Invalid model/method definition, expecting ""model/class::method"".","Neveljavna definicija modela/metode, pričakuje se ""model/class::method""."
"Missed if Not Run Within","Zamujeno, če ni pognano znotraj"
"Monthly","Mesečno"
"No callbacks found","Povratni klici niso bili najdeni"
"Schedule Ahead for","Načrtovano naprej za"
"Success History Lifetime","Življenska doba zgodovine uspeha"
"Too late for the schedule.","Prepozno za načrtovano opravilo."
"Unable to save the cron expression.","Izraza periodičnega opravila ni bilo mogoče shraniti."
"Weekly","Tedensko"
