"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Povezava</a>"
"Actions XML is not valid.","XML akcije niso veljavne."
"An error occurred while opening file: ""%s"".","Prišlo je do napake med odpiranjem datoteke: ""%s""."
"Could not load file: ""%s"".","Nalaganje datoteke ni uspelo: ""%s""."
"Could not save file: %s.","Shranjevanje datoteke ni uspelo: %s."
"Declared adapter %s was not found.","Določeni adapter %s ni bil najden."
"Destination folder ""%s"" is not a directory.","Ciljna mapa ""%s"" ni direktorij."
"Destination folder ""%s"" is not writable.","Ciljna mapa ""%s"" ni zapisljiva."
"Done","Urejeno"
"Dry run set, stopping execution.","Pogon na suho, ustavljanje izvajanja."
"ETA: %s","Pričakovani čas prispetja: %s"
"Error in field mapping: field list for mapping is not defined.","Napaka v preslikavi polja: seznam polja za preslikavo ni določen."
"File ""%s"" does not exist.","Datoteka ""%s"" ne obstaja."
"Found %d rows.","Najdeno %d vrstic."
"Less than a minute","Manj kot minuta"
"Loaded successfully: ""%s"".","Uspešno naloženo: ""%s""."
"Memory Used: %s","Uporabljeni spomin: %s"
"Method ""%s"" not defined in adapter %s.","Metoda ""%s"" ni definirana v adapterju %s."
"Method ""%s"" was not defined in adapter %s.","Metoda ""%s"" ni bila definirana v adapterju %s."
"Please declare ""adapter"" and ""method"" nodes first.","Prosimo, najprej določite vozlišči ""adapter"" in ""metoda""."
"Processed records: %s","Procesirani posnetki: %s"
"Profile with the same name already exists.","Profil z enakim imenom že obstaja."
"Saved successfully: ""%s"" [%d byte(s)].","Uspešno shranjeno: ""%s"" [%d byte(s)]."
"Sheet 1","Stran 1"
"Skip undefined row.","Preskočite nedefinirano vrstico."
"Starting %s :: %s","Začetek %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Ciljna mapa ""%s"" ne obstaja oz. ni dostopa za njeno ustvarjanje."
"Total records: %s","Skupaj posnetkov: %s"
"hour","ura"
"hours","ure"
"minute","minuta"
"minutes","minute"
