"(Make sure you keep it in a safe place.)","(Zagotovite, da imate to na varnem mestu.)"
"(Optional. Leave blank for no prefix)","(Opcijsko. Pustite prazno za brez predpone)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Dodatna pot dodana za osnovni URL za dostopanje do vaše administrativne plošče (npr. admin, backend, control itd.)."
"Admin Path","Pot administracije"
"After successfull installation please click the button below.","Po uspešni namestitvi, prosimo kliknite gumb spodaj."
"All packages were installed, click 'OK' to continue with installation.","Vsi paketi so bili nameščeni, kliknite 'OK', da nadaljujete z namestitvijo."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativno lahko poskusite način 'Ročen prenos in posodobitev'."
"Base URL","Osnovni URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Preden nadaljujete v vašo trgovino, prosimo zapišite vaš ključ enkripcije (Magento ga uporablja za enkripcijo gesel, kreditnih kartic in več)."
"Check out our","Preverite našo"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Označite to potrditveno polje samo, če ni mogoče avtomatsko preveriti varnega URL-ja, na primer če je overjanje HTTP zahtevano."
"Check this box only if it is not possible to automatically validate the Base URL.","Označite to potrditveno polje samo, če ni možno avtomatično preveriti osnovnega URL-ja."
"Choose this if you would like to test frontend and backend functionality.","Izberite to, če bi želeli testirati funcionalnost ospredja in ozadja."
"Configuration","Nastavitev"
"Confirm Password","Potrdite geslo"
"Connection","Povezava"
"Continue","Nadaljujte"
"Continue After Manual Download","Nadaljujte po ročnem prenosu"
"Continue Full Download / SVN Installation","Nadaljujte polni prenos / namestitev SVN"
"Create Admin Account","Ustvarite administratorski račun"
"Currently this is the most stable state available for Magento packages.","Trenutno je to najstabilnejše stanje na voljo za pakete Magento."
"Database","Podatkovne baze"
"Database Connection","Povezava podatkovne baze"
"Database Name","Ime podatkovne baze"
"Database Name cannot be empty.","Ime podatkovne baze ne more biti prazno."
"Database Type","Tip podatkovne baze"
"Database connection error.","Napaka povezave podatkovne baze."
"Database host","Gostitelj podatkovne baze"
"Database server does not support the InnoDB storage engine.","Strežnik podatkovne baze ne podpira motorja shranjevanja InnoDB."
"Database user name","Uporabniško ime podatkovne baze"
"Database user password","Geslo uporabnika podatkovne baze"
"Default Currency","Privzeta valuta"
"Download","Prenos"
"Download Magento Core Modules and Updates","Prenos modulov Magento jedra in posodobitve"
"Downloading and installing Magento, please wait...","Prenašanje in nameščanje Magenta, prosimo počakajte ..."
"Email","E-pošta"
"Email Address","Naslov e-pošte"
"Enable Charts","Omogočite grafe"
"Enable this option if you want the charts to be displayed on Dashboard.","Omogočite to opcijo, če želite, da so grafikoni prikazani na kontrolni plošči."
"Enable this option only if you have SSL available.","Omogočite to opcijo samo, če imate na voljo SSL."
"Encryption Key","Ključ enkripcije"
"File System","Datotečni sistem"
"First Name","Prvo ime"
"Full Download / SVN Installation","Polni prenos / namestitev SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Pripravite se za izkušnjo Open-Source eCommerce Evolved."
"Go to Backend","Pojdite v ozadje"
"Go to Frontend","Pojdite v ospredje"
"Having trouble installing Magento?","Imate težave z namestitvijo Magenta?"
"Help Us to Keep Magento Healthy","Pomagajte nam obdržati Magento zdrav"
"Host","Gostitelj"
"I agree to the above terms and conditions.","Strinjam se z zgornjimi pravili in pogoji."
"If you are a developer and would like to have the latest public updates, choose this option.","Če ste razvijalec in bi želeli imeti zadnje javne posodobitve, izberite to opcijo."
