"An error occurred while clearing the external full page cache.","Prišlo je do napake med čiščenjem zunanjega predpomnilnika polne strani."
"Cookie Lifetime (seconds)","Življenska doba piškotka (sekunde)"
"Enable External Cache","Omogočite zunanji predpomnilnik"
"External Cache Control","Nadzor zunanjega predpomnilnika"
"External Full Page Cache Settings","Nastavitve zunanjega predpomnilnika polne strani"
"External Page Cache","Predpomnilnik zunanje strani"
"External full page cache.","Zunanji predpomnilnik polne strani."
"Failed to load external cache control","Nalaganje nadzora zunanjega predpomnilnika ni uspelo"
"Flush External Page Cache","Izpraznite zunanji predpomnilnik strani"
"If empty, default value will be used.","Če je prazno, bo uporabljena privzeta vrednost."
"The external full page cache has been cleaned.","Zunanji predpomnilnik polne strani je bil počiščen."
"Zend Full Page Cache","Predpomnilnik Zend polne strani"
