"""Remember Me"" Default Value","Privzeta vrednost ""Zapomni si me"""
"(Not %s?)","(Ne %s?)"
"* Required Fields","* Zahtevana polja"
"Address","Naslov"
"Address Information","Informacije naslova"
"Already registered?","Že registrirani?"
"Back","Nazaj"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Z ustvarjanjem računa naše trgovine se boste lahko hitreje premikali po procesu naročanja, shranili več naslovov za dostavo, pogledali in sledili vašim naročilom v vašem računu in več."
"Cannot load configuration from file %s.","Nastavitev iz datoteke %s ni mogoče naložiti."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Preverjanje &quot;Zapomni si me&quot; vam bo dovolilo dostopati do vaše košarice na tem računalniku, ko ste odjavljeni"
"Checkout as Guest","Naročite kot gost"
"Checkout as a Guest","Naročite kot gost"
"Checkout as a Guest or Register","Naročite kot gost ali se registrirajte"
"City","Mesto"
"Clear Persistence on Log Out","Čista obstojnost pri odjavi"
"Close","Zaprite"
"Company","Podjetje"
"Confirm Password","Potrdite geslo"
"Continue","Nadaljujte"
"Country","Država"
"Create an Account","Ustvarite račun"
"Easy access to your order history and status","Enostaven dostop do vaše zgodovine naročanja in status"
"Email Address","Naslov e-pošte"
"Enable ""Remember Me""","Omogočite ""Zapomni si me"""
"Enable Persistence","Omogočite obstojnost"
"Fast and easy check out","Hitro in enostavno naročilo"
"Faster checkout","Hitrejše naročilo"
"Fax","Faks"
"Forgot Your Password?","Ste pozabili vaše geslo?"
"Forgot your password?","Ste pozabili vaše geslo?"
"General Options","Splošne opcije"
"If you have an account with us, please log in.","Če imate račun pri nas, se prosimo prijavite."
"Loading next step...","Nalaganje naslednjega koraka ..."
"Login","Prijava"
"Login Information","Informacije prijave"
"Login or Create an Account","Prijava ali ustvarjanje novega računa"
"New Customers","Nov kupec"
"New Here?","Ste tu novi?"
"Password","Geslo"
"Persist Shopping Cart","Naredite košarico obstojno"
"Persistence Lifetime (seconds)","Življenska doba obstojnosti (sekunde)"
"Persistent Shopping Cart","Obstojna košarica"
"Personal Information","Osebne informacije"
"Please enter the following information to create your account.","Prosimo vnesite sledeče informacije, da ustvarite vaš račun."
"Please log in below:","Prosimo, prijavite se spodaj:"
"Please select region, state or province","Prosimo, izberite regijo, zvezno državo ali provinco"
"Register","Registracija"
"Register and Checkout","Registracija in naročilo"
"Register and save time!","Registrirajte se in prihranite čas!"
"Register to Create an Account","Registrirajte se, da ustvarite račun"
"Register with us for future convenience:","Registrirajte se pri nas za prihodnjo udobje:"
"Registered Customers","Registrirani kupci"
"Registration is free and easy!","Registracija je brezplačna in enostavna!"
"Remember Me","Zapomni si me"
"Returning Customers","Stalna stranka"
"Save in address book","Shranite v knjigo naslovov"
"Save multiple shipping addresses","Shranite več naslovov za dostavo"
"Select State/Province...","Izberite zvezno državo/provinco ..."
"Select a billing address from your address book or enter a new address.","Izberite naslov za izdajo računa iz vaše knjige naslovov ali vpišite nov naslov."
"Ship to different address","Dostava na drug naslov"
"Ship to this address","Dostavite na ta naslov"
"Shopping cart has been updated with appropriate prices","Košarica je bila posodobljena z ustreznimi cenami"
"Sign Up for Newsletter","Prijavite se na e-novice"
"Sign in to speed up your checkout process","Prijavite se, da pohitrite proces vašega naročila"
"State/Province","Zvezna država/provinca"
"Street Address","Naslov ulice"
"Street Address %s","Naslov ulice %s"
"Submit","Pošljite"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Da nadaljujete z naročilom, se, prosimo, prijavite z uporabo naslova vaše e-pošte."
"VAT Number","ID za DDV"
"View and track orders and more","Poglejte ali sledite naročilom in več"
"Welcome, %s!","Pozdravljeni, %s!"
"What's this?","Kaj je to?"
"What\'s this?","Kaj je to?"
"Zip/Postal Code","Poštna številka"
