"""%s"" coupon code is not valid.","Koda ""%s"" za kupon ni veljavna."
"%s","%s"
"%s / %s rate:","Stopnja %s / %s:"
"%s for %s","%s za %s"
"%s order(s) cannot be canceled","Preklicati ni uspelo sledeča naročila: %s"
"%s order(s) have been canceled.","Preklicana naročila: %s."
"%s order(s) have been put on hold.","Naročila: %s so dana na čakanje."
"%s order(s) have been released from holding status.","Naročila: %s so bila sproščena iz čakanja."
"%s order(s) were not put on hold.","Nalogi: %s niso bili dani na čakanje."
"%s order(s) were not released from holding status.","Naročila: %s niso bila sproščena iz statusa čakanja."
"* - Enter custom price excluding tax","* - Vnesite ceno po meri brez davka"
"* - Enter custom price including tax","* - Vnesite ceno po meri z davkom"
"* Required Fields","* Zahtevana polja"
"-- Please Select --","-- Prosimo, izberite --"
"-- Please Select Billing Agreement--","-- Prosimo, izberite sporazum obračuna --"
"About This Order:","O tem naročilu:"
"About This Profile:","O tem profilu:"
"About Your Invoice","O vašem računu"
"About Your Order","O vašem naročilu"
"About Your Refund","O vašem vračilo"
"About Your Shipment","O vaši pošiljki"
"Accept Payment","Sprejem plačila"
"Accept or Deny Payment","Sprejem ali zavrnitev plačila"
"Account Information","Informacije o računu"
"Action","Dejanje"
"Actions","Dejanja"
"Activate","Aktiviranje"
"Active","Aktivno"
"Add","Dodajte"
"Add New Address","Dodaj nov naslov"
"Add Order Comments","Dodajanje komentarjev naročila"
"Add Package","Dodajanje paketa"
"Add Products","Dodajanje izdelkov"
"Add Selected Product(s) to Option","Možnosti dodajte izbrane produkte"
"Add Selected Product(s) to Order","Dodajte izbrane produkte naročilu"
"Add Selected Product(s) to Package","Dodajte izbrane produkte v paket"
"Add To Order","Dodajte naročilu"
"Add Tracking Number","Dodajte številko sledenja"
"Add comment to order","Naročilu dodajte komentar"
"Add new comment to credit memo","Dobropisu dodajte nov komentar"
"Add new comment to shipment","Dodaj nov komentar za pošiljko"
"Add new tracking number","Dodaj novo številko za sledenje"
"Add to Cart","Dodajte v košarico"
"Additional Product Info","Dodatne informacije produkta"
"Address","Naslov"
