"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - ujema se s katerimkoli; 'xyz*' - ujema se s katerimkoli, ki se začne na 'xyz' in ne več kot %d."
"-- Please Select --","-- Prosimo, izberite --"
"Add New Class","Dodajte nov razred"
"Add New Tax Rate","Dodajte novo stopnjo davka"
"Add New Tax Rule","Dodajte novo pravilo davka"
"After Discount","Po popustu"
"An error occurred while deleting this rate.","Prišlo je do napake med brisanjem te stopnje."
"An error occurred while deleting this rate. Incorrect rate ID.","Prišlo je do napake med brisanjem te stopnje. Nepravilen ID stopnje."
"An error occurred while deleting this tax class.","Prišlo je do napake med brisanjem tega razreda davka."
"An error occurred while deleting this tax rule.","Prišlo je do napake med brisanjem tega pravila davka."
"An error occurred while saving this tax class.","Prišlo je do napake med shranjevanjem tega razreda davka."
"An error occurred while saving this tax class. A class with the same name","Prišlo je do napake med shranjevanjem tega razreda davka. Razred z enakim imenom"
"Apply Customer Tax","Uporabite davek kupca"
"Apply Discount On Prices","Uporabite popust na cenah"
"Apply Tax On","Uporabite davek na"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Uporabite popust na ceni, ki vključuje davek, ki je izračunan v davku trgovine, če je izbran ""Uporabite davek po popustu""."
"Are you sure you want to do this?","Ste prepričani, da želite to narediti?"
"Back","Nazaj"
"Before Discount","Pred popustom"
"CSV","CSV"
"Calculate off subtotal only","Odbijte samo vmesni seštevek"
"Calculation Settings","Nastavitve izračuna"
"Catalog Prices","Cene kataloga"
"Class Name","Ime razreda"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Kliknite tu, da greste v <a href=""%s"">nastavitve davka</a> in spremenite vaše nastavitve."
"Code","Koda"
"Country","Država"
"Custom price if available","Cena po meri, če je na voljo"
"Customer Tax Class","Davčni razred kupca"
"Customer Tax Class Information","Informacije davčnega razreda kupca"
"Customer Tax Classes","Davnčni razredi kupca"
"Default Country","Privzeta država"
"Default Post Code","Privzeta poštna številka"
"Default State","Privzeta zvezna država"
"Default Tax Destination Calculation","Privzet davek ciljnega izračuna"
"Delete Class","Izbrišite davek"
"Delete Rate","Izbrišite stopnjo"
"Delete Rule","Izbrišite pravilo"
