"All Websites","Vse spletne strani"
"Apply Discounts To FPT","Uporabite popuste za FPT"
"Display Prices In Emails","Prikažite cene v e-poštah"
"Display Prices In Product Lists","Prikažite cene v seznamih produktov"
"Display Prices In Sales Modules","Prikažite cene v modulih prodaje"
"Display Prices On Product View Page","Prikažite cene na strani pogleda produkta"
"Enable FPT","Omogočite FPT"
"Excluding FPT","Brez FPT"
"Excluding FPT, FPT description, final price","Brez FPT, opis FPT, končna cena"
"FPT Tax Configuration","Nastavitve davka FPT"
"Fixed Product Tax","Fiksni daven produkta"
"Fixed Product Taxes","Fiksni davki produkta"
"Include FPT In Subtotal","Vključite FPT v vmesnem seštevku"
"Including FPT and FPT description","Vključuje FPT in opis FPT"
"Including FPT and FPT description [incl. FPT VAT]","Vključuje FPT in opis FPT [vključno z FPT DDV]"
"Including FPT only","Vključuje samo FPT"
"Loaded and Displayed with Tax","Naloženo in prikazano z davkom"
"Not Taxed","Ni obdavčeno"
"Taxed","Obdavčeno"
"Total","Skupaj"
"Total Incl. Tax","Skupno vključno z davkom"
"Total excl. tax","Skupno brez davka"
"Total incl. tax","Skupno vključno z davkom"
"Total:","Skupaj:"
