"%s","%s"
"-- Please Select --","-- Prosimo, izberite --"
"Actions","Akcije"
"Add Layout Update","Dodajte postavitev posodobitve"
"Add New Widget Instance","Dodajte novo instanco pripomočka"
"All","Vse"
"All Pages","Vse strani"
"All Product Types","Vse vrste produktov"
"An error occurred during saving a widget: %s","Med shranjevanjem pripomočka je prišlo do napake: %s"
"Anchor Categories","Kategorije sidra"
"Apply","Uporabite"
"Assign to Store Views","Dodelite na poglede trgovine"
"Big Image","Velika slika"
"Block Reference","Referenca bloka"
"CMS","CMS"
"Categories","Kategorije"
"Choose...","Izberite ..."
"Close","Zaprite"
"Continue","Nadaljujte"
"Default Template","Privzeta predloga"
"Delete","Izbrišite"
"Design Package/Theme","Oblikujte paket/temo"
"Error occurs during loading chooser.","Napaka se zgodi med nalaganjem izbirnika."
"Export to:","Izvozite v:"
"Frontend Properties","Lastnosti ospredja"
"Generic Pages","Splošne strani"
"Go to Next page","Pojdite na naslednjo stran"
"Go to Previous page","Pojdite na prejšnjo stran"
"Images","Slike"
"Insert Widget","Vstavite pripomoček"
"Insert Widget...","Vstavite pripomoček..."
"Layout Updates","Posodobitve postavitve"
"Manage Widget Instances","Upravljajte instance propomočka"
"New Instance","Nova instanca"
"New Widget Instance","Nova instanca pripomočka"
"Next page","Naslednja stran"
"Non-Anchor Categories","Kategorije ne-sidra"
"Not Selected","Ni izbrano"
"Open Chooser","Odprite izbirnik"
"Page","Stran"
"Please Select Block Reference First","Prosimo, najprej izberite referenco bloka"
"Previous page","Prejšnja stran"
"Products","Produkti"
"Remove Layout Update","Odstranite posodobitev postavitve"
"Save and Continue Edit","Shranite in nadaljujte urejanje"
"Select All","Izberite vse"
"Select Visible","Izberite vidno"
"Settings","Nastavitve"
"Sort Order","Vrstni red"
"Sort Order of widget instances in the same block reference","Vrstni red instanc pripomočka v enaki referenci bloka"
"Specific %s","Določen %s"
"Specified Page","Določena stran"
"Template","Predloga"
"The information in this tab has been changed.","Informacije v tem zavihku so bile spremenjene."
"The widget instance has been deleted.","Instanca pripomočka je bila izbrisana."
"The widget instance has been saved.","Instanca pripomočka je bila shranjena."
"This tab contains invalid data. Please solve the problem before saving.","Ta zavihek vsebuje neveljavne podatke. Prosimo, rešite problem preden shranjujete."
"Thumbnail","Sličica"
"Total %d records found","Skupaj najdenih %d vnosov"
"Type","Vrsta"
"Unselect All","Odznačite vse"
"Unselect Visible","Odznačite vidne"
"View","Pogled"
"Widget","Pripomoček"
"Widget ""%s""","Pripomoček ""%s"""
"Widget ID","ID pripomočka"
"Widget Insertion","Vstavljanje pripomočka"
"Widget Instance","Instanca pripomočka"
"Widget Instance Title","Naslov instance pripomočka"
"Widget Options","Opcije pripomočka"
"Widget Type","Vrsta pripomočka"
"Widget Type is not specified","Vrsta pripomočka ni določena"
"Widget instance is not full complete to create.","Instanca pripomočka ni polno končana za ustvarjanje."
"Widgets","Pripomočki"
"Wrong widget instance specified.","Določena je instanca napačnega pripomočka."
"items selected","izbranih elementov"
"of %s pages","od %s strani"
"per page","na stran"
